cell_id,dataset,method,seed,n_nodes,total_rounds,ingested_at,final_coverage,final_precision_k,final_n_accepted,final_n_recs,final_n_active_users,final_n_skipped_users,final_mrr@1,final_hits@1,final_mrr@3,final_hits@3,final_mrr@5,final_hits@5,final_mrr@10,final_hits@10,final_hit_rate@1,final_rec_coverage@1,final_unique_recs@1,final_novelty,final_clustering_diff,final_degree_kl,final_replay_size
email_eu_aa_s42,email_eu,aa,42,986,100,2026-05-03T22:51:47,0.6291467768462433,0.0163265306122449,16.0,980.0,98.0,0.0,0.0909090909090909,0.0909090909090909,0.1212121212121212,0.1818181818181818,0.203030303030303,0.5454545454545454,0.2546536796536797,1.0,0.010204081632653,0.1968325791855203,87.0,,,,0.0
email_eu_cn_s42,email_eu,cn,42,986,100,2026-05-03T22:52:01,0.613863371976413,0.0132653061224489,13.0,980.0,98.0,0.0,0.0909090909090909,0.0909090909090909,0.1666666666666666,0.2727272727272727,0.1848484848484848,0.3636363636363636,0.2627344877344877,1.0,0.010204081632653,0.1766055045871559,77.0,,,,0.0
email_eu_gnn_sum_s42,email_eu,gnn_sum,42,986,100,2026-05-03T22:53:07,0.6293874603875005,0.0489795918367346,48.0,980.0,98.0,0.0,0.3,0.3,0.4,0.5,0.44,0.7,0.4806746031746032,1.0,0.0612244897959183,0.185589519650655,85.0,,,,0.0
email_eu_ground_truth_s42,email_eu,ground_truth,42,986,100,2026-05-03T22:53:25,0.865979381443299,0.0285714285714285,28.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1326530612244898,0.1636690647482014,91.0,,,,0.0
email_eu_jaccard_s42,email_eu,jaccard,42,986,100,2026-05-03T22:53:46,0.605720245497212,0.0153061224489795,15.0,980.0,98.0,0.0,0.1538461538461538,0.1538461538461538,0.2051282051282051,0.3076923076923077,0.2205128205128205,0.3846153846153846,0.2998473748473749,1.0,0.0204081632653061,0.1645569620253164,91.0,,,,0.0
email_eu_mlp_s42,email_eu,mlp,42,986,100,2026-05-03T22:54:07,0.3460628184042681,0.0103305785123966,10.0,968.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.1111111111111111,0.1359347442680776,1.0,0.0,0.1228070175438596,21.0,,,,0.0
email_eu_random_s42,email_eu,random,42,986,100,2026-05-03T22:54:25,0.4750691965181114,0.0214723926380368,21.0,978.0,98.0,0.0,0.0588235294117647,0.0588235294117647,0.1470588235294117,0.2941176470588235,0.1999999999999999,0.5294117647058824,0.2543183940242763,1.0,0.010204081632653,0.1746641074856046,91.0,,,,0.0
dnc_email_aa_s42,dnc_email,aa,42,1866,100,2026-05-03T22:55:58,0.519847743338771,0.0005503577325261,1.0,1817.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,1.0,0.0,0.1534090909090909,162.0,,,,0.0
dnc_email_cn_s42,dnc_email,cn,42,1866,100,2026-05-03T22:57:23,0.5086097516766358,0.0016474464579901,3.0,1821.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4537037037037037,1.0,0.0053763440860215,0.1527647610121837,163.0,,,,0.0
dnc_email_gnn_sum_s42,dnc_email,gnn_sum,42,1866,100,2026-05-03T23:00:34,0.3775602682617364,0.0,0.0,1835.0,186.0,0.0,,,,,,,,,0.0,0.154056517775752,169.0,,,,0.0
dnc_email_ground_truth_s42,dnc_email,ground_truth,42,1866,100,2026-05-03T23:01:51,0.6851549755301795,0.0027367268746579,5.0,1827.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0268817204301075,0.161860465116279,174.0,,,,0.0
dnc_email_jaccard_s42,dnc_email,jaccard,42,1866,100,2026-05-03T23:03:18,0.4645640746782671,0.0005476451259583,1.0,1826.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.1541218637992831,172.0,,,,0.0
dnc_email_mlp_s42,dnc_email,mlp,42,1866,100,2026-05-03T23:04:43,0.4235997824904839,0.0016429353778751,3.0,1826.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4365079365079365,1.0,0.0053763440860215,0.1853146853146853,53.0,,,,0.0
dnc_email_random_s42,dnc_email,random,42,1866,100,2026-05-03T23:06:13,0.4350190320826536,0.0021798365122615,4.0,1835.0,186.0,0.0,0.0,0.0,0.125,0.25,0.2249999999999999,0.75,0.25,1.0,0.0,0.1543985637342908,172.0,,,,0.0
college_msg_aa_s42,college_msg,aa,42,1899,100,2026-05-03T23:07:04,0.3065628695309421,0.0005694760820045,1.0,1756.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.1593886462882096,146.0,,,,0.0
college_msg_cn_s42,college_msg,cn,42,1899,100,2026-05-03T23:07:55,0.3116870319274734,0.0028137310073157,5.0,1777.0,189.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.3019047619047619,1.0,0.0052910052910052,0.1520787746170678,139.0,,,,0.0
college_msg_gnn_sum_s42,college_msg,gnn_sum,42,1899,100,2026-05-03T23:10:05,0.3034095388253843,0.0023041474654377,4.0,1736.0,189.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6607142857142857,1.0,0.0105820105820105,0.1652257444764649,172.0,,,,0.0
college_msg_ground_truth_s42,college_msg,ground_truth,42,1899,100,2026-05-03T23:10:56,0.5195112337406386,0.0069324090121317,12.0,1731.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0423280423280423,0.1851851851851851,175.0,,,,0.0
college_msg_jaccard_s42,college_msg,jaccard,42,1899,100,2026-05-03T23:11:44,0.286115490737091,0.0,0.0,1769.0,189.0,0.0,,,,,,,,,0.0,0.1661863592699327,173.0,,,,0.0
college_msg_mlp_s42,college_msg,mlp,42,1899,100,2026-05-03T23:12:35,0.2844895545920378,0.0022857142857142,4.0,1750.0,189.0,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.2197420634920635,1.0,0.0,0.1392757660167131,50.0,,,,0.0
college_msg_random_s42,college_msg,random,42,1899,100,2026-05-03T23:13:23,0.3194718171068191,0.0033575825405707,6.0,1787.0,189.0,0.0,0.1666666666666666,0.1666666666666666,0.3888888888888888,0.6666666666666666,0.4722222222222221,1.0,0.4722222222222221,1.0,0.0052910052910052,0.1632075471698113,173.0,,,,0.0
bitcoin_alpha_aa_s42,bitcoin_alpha,aa,42,3783,100,2026-05-03T23:17:29,0.3972546101050194,0.0050335570469798,18.0,3576.0,378.0,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.25,0.2416666666666667,0.5833333333333334,0.2919973544973545,1.0,0.0026455026455026,0.1648590021691974,304.0,,,,0.0
bitcoin_alpha_cn_s42,bitcoin_alpha,cn,42,3783,100,2026-05-03T23:21:24,0.3977507649053171,0.0033370411568409,12.0,3596.0,378.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3379960317460317,1.0,0.0052910052910052,0.1594360086767896,294.0,,,,0.0
bitcoin_alpha_gnn_sum_s42,bitcoin_alpha,gnn_sum,42,3783,100,2026-05-03T23:29:13,0.3320516000992309,0.0025387870239774,9.0,3545.0,378.0,0.0,0.4285714285714285,0.4285714285714285,0.5,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.5623015873015873,1.0,0.0079365079365079,0.1624691358024691,329.0,,,,0.0
bitcoin_alpha_ground_truth_s42,bitcoin_alpha,ground_truth,42,3783,100,2026-05-03T23:32:52,0.5733895642107004,0.0059221658206429,21.0,3546.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0476190476190476,0.1766261237440507,334.0,,,,0.0
bitcoin_alpha_jaccard_s42,bitcoin_alpha,jaccard,42,3783,100,2026-05-03T23:35:43,0.3394525758703382,0.0025295109612141,9.0,3558.0,378.0,0.0,0.125,0.125,0.2291666666666666,0.375,0.3104166666666667,0.75,0.3399305555555555,1.0,0.0026455026455026,0.1710526315789473,351.0,,,,0.0
