round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
0,0.050551832873472605,0.008024691358024692,13.0,1620.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08557565536171724,0.5193568227514803
1,0.051340165549862045,0.009211283822682787,16.0,1737.0,189.0,0.0,1.0,1.0,1.0,1.0,,
2,0.05183287347260544,0.006165228113440197,10.0,1622.0,189.0,0.0,1.0,1.0,1.0,1.0,,
3,0.052670476941269216,0.01020408163265306,17.0,1666.0,189.0,0.0,1.0,1.0,1.0,1.0,,
4,0.053212455656286954,0.007096392667060911,12.0,1691.0,189.0,0.0,1.0,1.0,1.0,1.0,,
5,0.053902246748127706,0.00892325996430696,15.0,1681.0,189.0,0.0,1.0,1.0,1.0,1.0,,
6,0.05419787150177375,0.0034762456546929316,6.0,1726.0,189.0,0.0,1.0,1.0,1.0,1.0,,
7,0.054542767047694125,0.004127358490566038,7.0,1696.0,189.0,0.0,1.0,1.0,1.0,1.0,,
8,0.05483839180134017,0.0035335689045936395,6.0,1698.0,189.0,0.0,1.0,1.0,1.0,1.0,,
9,0.055232558139534885,0.00471976401179941,8.0,1695.0,189.0,0.0,1.0,1.0,1.0,1.0,,
10,0.05542964130863224,0.0023094688221709007,4.0,1732.0,189.0,0.0,1.0,1.0,1.0,1.0,,
11,0.05567599527000394,0.002880184331797235,5.0,1736.0,189.0,0.0,1.0,1.0,1.0,1.0,,
12,0.05616870319274734,0.005824111822947,10.0,1717.0,189.0,0.0,1.0,1.0,1.0,1.0,,
13,0.05675995270003942,0.007113218731475993,12.0,1687.0,189.0,0.0,1.0,1.0,1.0,1.0,,
14,0.057154119038234134,0.004700352526439483,8.0,1702.0,189.0,0.0,1.0,1.0,1.0,1.0,,
15,0.057252660622782815,0.0011641443538998836,2.0,1718.0,189.0,0.0,1.0,1.0,1.0,1.0,,
16,0.05749901458415451,0.0028968713789107765,5.0,1726.0,189.0,0.0,1.0,1.0,1.0,1.0,,
17,0.05809026409144659,0.006822057987492893,12.0,1759.0,189.0,0.0,1.0,1.0,1.0,1.0,,
18,0.05833661805281829,0.002986857825567503,5.0,1674.0,189.0,0.0,1.0,1.0,1.0,1.0,,
19,0.058484430429641306,0.0017441860465116279,3.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,,
20,0.05878005518328735,0.0035149384885764497,6.0,1707.0,189.0,0.0,1.0,1.0,1.0,1.0,,
21,0.059026409144659044,0.002932551319648094,5.0,1705.0,189.0,0.0,1.0,1.0,1.0,1.0,,
22,0.059322033898305086,0.0034285714285714284,6.0,1750.0,189.0,0.0,1.0,1.0,1.0,1.0,,
23,0.0594698462751281,0.0017953321364452424,3.0,1671.0,189.0,0.0,1.0,1.0,1.0,1.0,,
24,0.059913283405597165,0.0050991501416430595,9.0,1765.0,189.0,0.0,1.0,1.0,1.0,1.0,,
25,0.06025817895151754,0.0040253018976423235,7.0,1739.0,189.0,0.0,1.0,1.0,1.0,1.0,,
26,0.06065234528971226,0.004553215708594195,8.0,1757.0,189.0,0.0,1.0,1.0,1.0,1.0,,
27,0.06075088687426094,0.0011607661056297156,2.0,1723.0,189.0,0.0,1.0,1.0,1.0,1.0,,
28,0.061046511627906974,0.003592814371257485,6.0,1670.0,189.0,0.0,1.0,1.0,1.0,1.0,,
29,0.06134213638155302,0.003482298316889147,6.0,1723.0,189.0,0.0,1.0,1.0,1.0,1.0,,
30,0.06148994875837603,0.001722158438576349,3.0,1742.0,189.0,0.0,1.0,1.0,1.0,1.0,,
31,0.06163776113519905,0.0017261219792865361,3.0,1738.0,189.0,0.0,1.0,1.0,1.0,1.0,,
32,0.061834844304296414,0.002359882005899705,4.0,1695.0,189.0,0.0,1.0,1.0,1.0,1.0,,
33,0.061933385888845095,0.0012239902080783353,2.0,1634.0,189.0,0.0,1.0,1.0,1.0,1.0,,
34,0.06217973985021679,0.0028312570781426952,5.0,1766.0,189.0,0.0,1.0,1.0,1.0,1.0,,
35,0.06217973985021679,0.0,0.0,1735.0,189.0,0.0,,,,,,
36,0.06252463539613717,0.0040415704387990765,7.0,1732.0,189.0,0.0,1.0,1.0,1.0,1.0,,
37,0.06267244777296019,0.0017793594306049821,3.0,1686.0,189.0,0.0,1.0,1.0,1.0,1.0,,
38,0.06272171856523454,0.0005797101449275362,1.0,1725.0,189.0,0.0,1.0,1.0,1.0,1.0,,
39,0.0628202601497832,0.0012315270935960591,2.0,1624.0,189.0,0.0,1.0,1.0,1.0,1.0,,
40,0.06301734331888056,0.002290950744558992,4.0,1746.0,189.0,0.0,1.0,1.0,1.0,1.0,,
41,0.06326369728025226,0.0028835063437139563,5.0,1734.0,189.0,0.0,1.0,1.0,1.0,1.0,,
42,0.06336223886480094,0.001156737998843262,2.0,1729.0,189.0,0.0,1.0,1.0,1.0,1.0,,
43,0.06360859282617265,0.002955082742316785,5.0,1692.0,189.0,0.0,1.0,1.0,1.0,1.0,,
44,0.06370713441072133,0.0011976047904191617,2.0,1670.0,189.0,0.0,1.0,1.0,1.0,1.0,,
45,0.06395348837209303,0.0029239766081871343,5.0,1710.0,189.0,0.0,1.0,1.0,1.0,1.0,,
46,0.06424911312573907,0.0035949670461354103,6.0,1669.0,189.0,0.0,1.0,1.0,1.0,1.0,,
47,0.06434765471028774,0.001156737998843262,2.0,1729.0,189.0,0.0,1.0,1.0,1.0,1.0,,
48,0.06449546708711076,0.0016816143497757848,3.0,1784.0,189.0,0.0,1.0,1.0,1.0,1.0,,
