C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[preprocess] 删除 38 个孤立节点，剩余 462 个节点
Round   65/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5122  (0.1s)
Round   66/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5250  (0.1s)
Round   67/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5072  (0.1s)
Round   68/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4754  (0.1s)
Round   69/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5023  (0.1s)
Round   70/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5297  (0.1s)
Round   71/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4832  (0.1s)
Round   72/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.6778  (0.1s)
Round   73/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4665  (0.1s)
Round   74/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4231  (0.1s)
Round   75/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4159  (0.1s)
Round   76/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5343  (0.1s)
Round   77/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3982  (0.1s)
Round   78/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4329  (0.1s)
Round   79/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4214  (0.1s)
Round   80/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.6029  (0.1s)
Round   81/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4992  (0.1s)
Round   82/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4431  (0.1s)
Round   83/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5801  (0.1s)
Round   84/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4147  (0.1s)
Round   85/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4393  (0.1s)
Round   86/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4080  (0.1s)
Round   87/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4158  (0.1s)
Round   88/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4471  (0.1s)
Round   89/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3885  (0.1s)
Round   90/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4354  (0.1s)
Round   91/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3731  (0.1s)
Round   92/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5667  (0.1s)
Round   93/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.4398  (0.0s)
Round   94/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3575  (0.1s)
Round   95/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3738  (0.1s)
Round   96/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3634  (0.1s)
Round   97/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   98/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3526  (0.1s)
Round   99/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3948  (0.1s)
Round  100/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.3753  (0.1s)

结果已写入 results\online\sbm_node_emb_topk20/rounds.csv
