round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.4999990819303699,0.5228014385493909,0.5145623334491947,0.010235343266954463,147.0,14362.0,1572.0,0.0,0.013358778625954198,0.12497854077253219,1456.0,2.0942028985507246,0.05701018454960324,0.0009564332523343991,0.0,,,,,,,,
1,0.5000100987659308,0.531147955775786,0.5125863837598532,0.01105933087570425,159.0,14377.0,1572.0,0.0,0.01272264631043257,0.12502163003979927,1445.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.2916666666666667,0.5,0.3611111111111111,1.0
2,0.5000137710444511,0.4767012069701556,0.5169304478897502,0.009342560553633217,135.0,14450.0,1572.0,0.0,0.011450381679389313,0.12601066574918288,1465.0,,,,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.18611111111111112,1.0
3,0.5000192794622316,0.48825842272764686,0.49661835748792266,0.008573220882414441,123.0,14347.0,1572.0,0.0,0.007633587786259542,0.1254219683199169,1449.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037037,1.0
4,0.5000266240192721,0.45334180080482894,0.507905179615706,0.009762900976290097,140.0,14340.0,1572.0,0.0,0.006997455470737914,0.12808440142994157,1469.0,,,,0.0,0.0,0.0,0.08333333333333333,0.25,0.14583333333333331,0.5,0.2020833333333333,1.0
5,0.5000339685763127,0.48646475957611834,0.5318280821100371,0.009549034641388444,137.0,14347.0,1572.0,0.0,0.015267175572519083,0.12730882099085103,1475.0,,,,0.0,0.75,0.75,0.875,1.0,0.875,1.0,0.875,1.0
6,0.5000394769940931,0.4982620036519321,0.499001452432825,0.011354928596307906,163.0,14355.0,1572.0,0.0,0.013358778625954198,0.12723829201101927,1478.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,1.0
7,0.5000523299689141,0.5193168437528805,0.5196084656084656,0.011092738046024527,161.0,14514.0,1572.0,0.0,0.01272264631043257,0.12427250941458405,1452.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.325,0.6666666666666666,0.3601851851851852,1.0
8,0.5000651829437351,0.48528351454737556,0.5055588624338625,0.0112,161.0,14375.0,1572.0,0.0,0.015267175572519083,0.127190699288565,1466.0,,,,0.0,0.0,0.0,0.19047619047619047,0.42857142857142855,0.21904761904761902,0.5714285714285714,0.2654761904761905,1.0
9,0.5000743636400359,0.504197901556419,0.5101457840819542,0.010330288123682361,147.0,14230.0,1572.0,0.0,0.01272264631043257,0.12827406764960972,1479.0,,,,0.0,0.4,0.4,0.4666666666666666,0.6,0.4666666666666666,0.6,0.5199999999999999,1.0
10,0.5000835443363366,0.5160402156014441,0.5005847162097162,0.009644953871959744,138.0,14308.0,1572.0,0.0,0.007633587786259542,0.12689655172413794,1472.0,1.9781021897810218,0.05485641844248729,0.0009564332523343991,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.3666666666666667,0.6666666666666666,0.41825396825396827,1.0
11,0.5000890527541171,0.5066739966067345,0.5014294403892944,0.009977356354373053,141.0,14132.0,1572.0,0.0,0.007633587786259542,0.12815584869398094,1467.0,,,,0.0,0.0,0.0,0.375,0.75,0.375,0.75,0.4027777777777778,1.0
12,0.5001019057289381,0.48975942042192555,0.5067415223665225,0.009485945455813629,136.0,14337.0,1572.0,0.0,0.010178117048346057,0.12683555173894376,1477.0,,,,0.0,0.2857142857142857,0.2857142857142857,0.5476190476190476,0.8571428571428571,0.5476190476190476,0.8571428571428571,0.5634920634920635,1.0
13,0.5001165948430193,0.49430035453945576,0.5026792241019216,0.011299826689774696,163.0,14425.0,1572.0,0.0,0.011450381679389313,0.12557741659538066,1468.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4583333333333333,0.6666666666666666,0.49583333333333335,1.0
14,0.5001276116785801,0.4844322336350976,0.4969646799116998,0.011019283746556474,160.0,14520.0,1572.0,0.0,0.011450381679389313,0.12571428571428572,1474.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5277777777777778,0.8333333333333334,0.5555555555555556,1.0
15,0.5001349562356208,0.5179630820233586,0.49943415637860084,0.009578677031998334,138.0,14407.0,1572.0,0.0,0.010814249363867684,0.12750362226199607,1496.0,,,,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.15746031746031744,1.0
16,0.5001441369319215,0.46687568449185257,0.5297017304189434,0.009249527012823208,132.0,14271.0,1572.0,0.0,0.012086513994910942,0.12694569353164994,1468.0,,,,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.29761904761904756,0.7142857142857143,0.3357142857142857,1.0
17,0.5001459730711816,0.4620138758441447,0.5225563909774437,0.009679455705968999,138.0,14257.0,1572.0,0.0,0.010814249363867684,0.127904975038733,1486.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.5001533176282222,0.49027422340457816,0.5003968253968254,0.009329405162738495,133.0,14256.0,1572.0,0.0,0.0057251908396946565,0.12934110888676126,1486.0,,,,0.0,0.0,0.0,0.125,0.25,0.1875,0.5,0.2544642857142857,1.0
19,0.5001588260460026,0.4637448994491011,0.4899503968253968,0.010125158205596962,144.0,14222.0,1572.0,0.0,0.008905852417302799,0.12775983942752422,1464.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41798941798941797,1.0
20,0.5001680067423033,0.4870193318844644,0.5122095134350036,0.011092623405435386,160.0,14424.0,1572.0,0.0,0.014631043256997456,0.12689572444520605,1481.0,2.0,0.05237824165990011,0.0009567010179152267,0.0,0.2,0.2,0.3,0.4,0.3,0.4,0.3888888888888889,1.0
21,0.5001735151600838,0.480889701632029,0.49577777777777776,0.009047254506228687,130.0,14369.0,1572.0,0.0,0.009541984732824428,0.12669761045212308,1474.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13055555555555556,1.0
22,0.5001771874386041,0.4937463979369907,0.5244060176813341,0.01201158764926164,170.0,14153.0,1572.0,0.0,0.017811704834605598,0.12774832710524028,1470.0,,,,0.0,0.0,0.0,0.16666666666666666,0.5,0.29166666666666663,1.0,0.29166666666666663,1.0
23,0.5001808597171243,0.513297812034508,0.49547000618429193,0.01131442938957955,162.0,14318.0,1572.0,0.0,0.01272264631043257,0.12739347938588924,1477.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12142857142857143,1.0
24,0.500188204274165,0.5011887833574475,0.514468253968254,0.00949389179755672,136.0,14325.0,1572.0,0.0,0.012086513994910942,0.1263534828203598,1482.0,,,,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3611111111111111,1.0,0.3611111111111111,1.0
25,0.5001973849704657,0.5021348279369005,0.4934156378600823,0.009799833194328608,141.0,14388.0,1572.0,0.0,0.010178117048346057,0.12659967362363653,1474.0,,,,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.35714285714285715,0.7142857142857143,0.3892857142857143,1.0
26,0.5002065656667665,0.4782648020252168,0.521343954248366,0.010229276895943563,145.0,14175.0,1572.0,0.0,0.007633587786259542,0.12732512444328006,1458.0,,,,0.0,0.2,0.2,0.4,0.6,0.45,0.8,0.47000000000000003,1.0
27,0.500213910223807,0.4580147767273471,0.5095390720390721,0.010216847372810676,147.0,14388.0,1572.0,0.0,0.011450381679389313,0.12673506336753168,1470.0,,,,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.65625,1.0
28,0.500226763198628,0.4880448172858888,0.489229120059657,0.010933557611438183,156.0,14268.0,1572.0,0.0,0.014631043256997456,0.12786143267473235,1469.0,,,,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.4271541950113379,1.0
29,0.5002304354771483,0.4872753017770943,0.5186066264405306,0.010955271788430674,157.0,14331.0,1572.0,0.0,0.012086513994910942,0.12520367035417201,1460.0,,,,0.0,0.0,0.0,0.16666666666666666,0.5,0.26666666666666666,1.0,0.26666666666666666,1.0
