round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
0,0.10066022861647615,0.008288928359976317,14.0,1689.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08273344151012449,0.1108604386964182
1,0.1013500197083169,0.008087810514153668,14.0,1731.0,189.0,0.0,1.0,1.0,1.0,1.0,,
2,0.10184272763106031,0.0057306590257879654,10.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,,
3,0.10258178951517541,0.008792497069167644,15.0,1706.0,189.0,0.0,1.0,1.0,1.0,1.0,,
4,0.10341939298383918,0.009883720930232558,17.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,,
5,0.10440480882932597,0.011827321111768185,20.0,1691.0,189.0,0.0,1.0,1.0,1.0,1.0,,
6,0.10494678754434371,0.006292906178489702,11.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,,
7,0.1055380370516358,0.007017543859649123,12.0,1710.0,189.0,0.0,1.0,1.0,1.0,1.0,,
8,0.10598147418210485,0.005214368482039398,9.0,1726.0,189.0,0.0,1.0,1.0,1.0,1.0,,
9,0.1069176192353173,0.011046511627906977,19.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,,
10,0.10701616081986598,0.0011743981209630064,2.0,1703.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07404913251173956,0.09477866218842183
11,0.1074103271580607,0.004542873367404884,8.0,1761.0,189.0,0.0,1.0,1.0,1.0,1.0,,
12,0.10785376428852976,0.005382775119617225,9.0,1672.0,189.0,0.0,1.0,1.0,1.0,1.0,,
13,0.10810011824990146,0.0029394473838918285,5.0,1701.0,189.0,0.0,1.0,1.0,1.0,1.0,,
14,0.10859282617264486,0.005777007510109763,10.0,1731.0,189.0,0.0,1.0,1.0,1.0,1.0,,
15,0.10883918013401656,0.0029069767441860465,5.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,,
16,0.10923334647221128,0.004736530491415038,8.0,1689.0,189.0,0.0,1.0,1.0,1.0,1.0,,
17,0.10972605439495467,0.005851375073142188,10.0,1709.0,189.0,0.0,1.0,1.0,1.0,1.0,,
18,0.11031730390224675,0.006864988558352402,12.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,,
19,0.11095782420181316,0.007642563198118754,13.0,1701.0,189.0,0.0,1.0,1.0,1.0,1.0,,
