round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.25,0.0,0.0,3764.0,386.0,0.0,0.0,0.10672722111836502,376.0,3.0833333333333335,0.0034915536918977137,1.5252804806482017,0.0,,,,,,,,
1,0.25,0.0,0.0,3757.0,386.0,0.0,0.0,0.1061293984108967,374.0,,,,0.0,,,,,,,,
2,0.25,0.0,0.0,3751.0,386.0,0.0,0.0,0.10529295216529862,372.0,,,,0.0,,,,,,,,
3,0.25,0.0,0.0,3758.0,386.0,0.0,0.0,0.10697149308495625,379.0,,,,0.0,,,,,,,,
4,0.25,0.0,0.0,3759.0,386.0,0.0,0.0,0.10560405519571951,375.0,,,,0.0,,,,,,,,
5,0.2500310752019888,0.0002670940170940171,1.0,3744.0,386.0,0.0,0.0,0.10573065902578796,369.0,,,,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
6,0.2500310752019888,0.0,0.0,3758.0,386.0,0.0,0.0,0.10631040363843093,374.0,,,,0.0,,,,,,,,
7,0.2500310752019888,0.0,0.0,3782.0,386.0,0.0,0.0,0.1061624649859944,379.0,,,,0.0,,,,,,,,
8,0.2500310752019888,0.0,0.0,3792.0,386.0,0.0,0.0,0.10479125805547773,374.0,,,,0.0,,,,,,,,
9,0.2500310752019888,0.0,0.0,3741.0,386.0,0.0,0.0,0.10766163486186271,378.0,,,,0.0,,,,,,,,
10,0.2500310752019888,0.0,0.0,3778.0,386.0,0.0,0.0,0.10396600566572238,367.0,2.125,0.003463548280390506,1.525836511407127,0.0,,,,,,,,
11,0.2500621504039776,0.00026191723415400735,1.0,3818.0,386.0,0.0,0.0,0.10420168067226891,372.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
12,0.2500621504039776,0.0,0.0,3792.0,386.0,0.0,0.0,0.1057231463208345,375.0,,,,0.0,,,,,,,,
13,0.2500932256059664,0.00026490066225165563,1.0,3775.0,386.0,0.0,0.0025906735751295338,0.10631040363843093,374.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.2501243008079552,0.00026469031233456857,1.0,3778.0,386.0,0.0,0.0025906735751295338,0.10419600112644326,370.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.2501243008079552,0.0,0.0,3813.0,386.0,0.0,0.0,0.10482297184276554,376.0,,,,0.0,,,,,,,,
16,0.2501243008079552,0.0,0.0,3769.0,386.0,0.0,0.0,0.10629251700680271,375.0,,,,0.0,,,,,,,,
17,0.2501553760099441,0.00026567481402763017,1.0,3764.0,386.0,0.0,0.0,0.10445205479452055,366.0,,,,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0
18,0.2501553760099441,0.0,0.0,3777.0,386.0,0.0,0.0,0.10530749789385004,375.0,,,,0.0,,,,,,,,
19,0.2501553760099441,0.0,0.0,3761.0,386.0,0.0,0.0,0.10590228748940977,375.0,,,,0.0,,,,,,,,
20,0.2501553760099441,0.0,0.0,3723.0,386.0,0.0,0.0,0.1061516452074392,371.0,3.6666666666666665,0.0034605224322755363,1.526433276167266,0.0,,,,,,,,
21,0.2501864512119329,0.0002644802962179318,1.0,3781.0,386.0,0.0,0.0,0.10457885811192764,370.0,,,,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
22,0.2502175264139217,0.0002644802962179318,1.0,3781.0,386.0,0.0,0.0025906735751295338,0.10524830699774267,373.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.2502486016159105,0.0002673082063619353,1.0,3741.0,386.0,0.0,0.0025906735751295338,0.10591274397244546,369.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.2502486016159105,0.0,0.0,3786.0,386.0,0.0,0.0,0.10501126126126126,373.0,,,,0.0,,,,,,,,
25,0.2502486016159105,0.0,0.0,3765.0,386.0,0.0,0.0,0.10575035063113604,377.0,,,,0.0,,,,,,,,
26,0.2502486016159105,0.0,0.0,3750.0,386.0,0.0,0.0,0.10616438356164383,372.0,,,,0.0,,,,,,,,
27,0.2502486016159105,0.0,0.0,3811.0,386.0,0.0,0.0,0.1049554565701559,377.0,,,,0.0,,,,,,,,
28,0.2502486016159105,0.0,0.0,3769.0,386.0,0.0,0.0,0.10639501980758348,376.0,,,,0.0,,,,,,,,
29,0.2502486016159105,0.0,0.0,3744.0,386.0,0.0,0.0,0.10746864310148233,377.0,,,,0.0,,,,,,,,
