C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0006  accepted=9  auc=0.2515  uauc=0.7407  loss=0.8319  (35.5s)
Round    2/30  coverage=0.4000  prec@K=0.0005  accepted=7  auc=0.2434  uauc=0.2937  loss=0.8320  (25.5s)
Round    3/30  coverage=0.4000  prec@K=0.0005  accepted=8  auc=0.2863  uauc=0.7870  loss=0.8319  (30.2s)
Round    4/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.2655  uauc=0.4861  loss=0.8321  (36.2s)
Round    5/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.2020  uauc=0.5701  loss=0.8321  (39.1s)
Round    6/30  coverage=0.4001  prec@K=0.0005  accepted=7  auc=0.2844  uauc=0.5826  loss=0.8318  (43.0s)
Round    7/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.3064  uauc=0.7361  loss=0.8320  (47.5s)
Round    8/30  coverage=0.4001  prec@K=0.0005  accepted=8  auc=0.2728  uauc=0.5625  loss=0.8316  (51.2s)
Round    9/30  coverage=0.4001  prec@K=0.0004  accepted=6  auc=0.3532  uauc=0.7042  loss=0.8317  (53.1s)
Round   10/30  coverage=0.4001  prec@K=0.0001  accepted=2  auc=0.2435  uauc=0.3056  loss=0.8319  (57.5s)
Round   11/30  coverage=0.4001  prec@K=0.0003  accepted=5  auc=0.1230  uauc=0.5278  loss=0.8316  (67.7s)
Round   12/30  coverage=0.4001  prec@K=0.0004  accepted=6  auc=0.1201  uauc=0.3194  loss=0.8315  (61.2s)
Round   13/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.2468  uauc=0.5819  loss=0.8316  (62.7s)
Round   14/30  coverage=0.4001  prec@K=0.0001  accepted=1  auc=0.2023  uauc=0.8000  loss=0.8318  (65.7s)
Round   15/30  coverage=0.4001  prec@K=0.0002  accepted=3  auc=0.1372  uauc=0.3704  loss=0.8316  (68.8s)
Round   16/30  coverage=0.4001  prec@K=0.0002  accepted=3  auc=0.4387  uauc=0.9259  loss=0.8315  (71.7s)
Round   17/30  coverage=0.4002  prec@K=0.0005  accepted=7  auc=0.2151  uauc=0.5167  loss=0.8312  (74.7s)
Round   18/30  coverage=0.4002  prec@K=0.0001  accepted=2  auc=0.1568  uauc=0.5000  loss=0.8315  (76.4s)
Round   19/30  coverage=0.4002  prec@K=0.0003  accepted=5  auc=0.1863  uauc=0.5357  loss=0.8312  (79.2s)
Round   20/30  coverage=0.4002  prec@K=0.0001  accepted=1  auc=0.1088  uauc=0.1111  loss=0.8314  (81.7s)
Round   21/30  coverage=0.4002  prec@K=0.0002  accepted=3  auc=0.2339  uauc=0.6852  loss=0.8312  (91.0s)
Round   22/30  coverage=0.4002  prec@K=0.0003  accepted=4  auc=0.2139  uauc=0.4792  loss=0.8311  (86.5s)
Round   23/30  coverage=0.4002  prec@K=0.0001  accepted=2  auc=0.2651  uauc=0.7639  loss=0.8312  (92.9s)
Round   24/30  coverage=0.4002  prec@K=0.0004  accepted=6  auc=0.1679  uauc=0.4722  loss=0.8308  (90.2s)
Round   25/30  coverage=0.4002  prec@K=0.0007  accepted=10  auc=0.2593  uauc=0.7562  loss=0.8304  (94.9s)
Round   26/30  coverage=0.4002  prec@K=0.0002  accepted=3  auc=0.2389  uauc=0.9074  loss=0.8308  (98.4s)
Round   27/30  coverage=0.4002  prec@K=0.0003  accepted=4  auc=0.2438  uauc=0.8611  loss=0.8307  (101.2s)
Round   28/30  coverage=0.4002  prec@K=0.0003  accepted=4  auc=0.3031  uauc=0.8750  loss=0.8305  (105.2s)
Round   29/30  coverage=0.4002  prec@K=0.0003  accepted=4  auc=0.1788  uauc=0.2593  loss=0.8304  (107.6s)
Round   30/30  coverage=0.4003  prec@K=0.0001  accepted=2  auc=0.1351  uauc=0.7222  loss=0.8304  (110.1s)

结果已写入 results\orchestrator\runs\ir40_constlr5e5_multiseed\sx_askubuntu\gnn_concat_h8_s3/rounds.csv
