C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0006  accepted=9  auc=0.7310  uauc=0.6420  loss=0.7331  (15.9s)
Round    2/30  coverage=0.4000  prec@K=0.0005  accepted=8  auc=0.7344  uauc=0.6984  loss=0.7326  (10.1s)
Round    3/30  coverage=0.4000  prec@K=0.0003  accepted=5  auc=0.6775  uauc=0.8444  loss=0.7322  (10.9s)
Round    4/30  coverage=0.4000  prec@K=0.0003  accepted=4  auc=0.3726  uauc=0.4444  loss=0.7319  (15.8s)
Round    5/30  coverage=0.4001  prec@K=0.0001  accepted=2  auc=0.3093  uauc=1.0000  loss=0.7312  (14.1s)
Round    6/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.7127  uauc=0.8148  loss=0.7309  (14.8s)
Round    7/30  coverage=0.4001  prec@K=0.0002  accepted=3  auc=0.8317  uauc=0.7407  loss=0.7305  (17.7s)
Round    8/30  coverage=0.4001  prec@K=0.0004  accepted=6  auc=0.5844  uauc=0.7407  loss=0.7300  (19.8s)
Round    9/30  coverage=0.4001  prec@K=0.0005  accepted=7  auc=0.5746  uauc=0.6349  loss=0.7297  (20.8s)
Round   10/30  coverage=0.4001  prec@K=0.0003  accepted=4  auc=0.4545  uauc=0.6667  loss=0.7294  (23.8s)
Round   11/30  coverage=0.4001  prec@K=0.0002  accepted=3  auc=0.8692  uauc=0.8889  loss=0.7289  (31.2s)
Round   12/30  coverage=0.4001  prec@K=0.0001  accepted=2  auc=0.7551  uauc=0.9444  loss=0.7287  (26.3s)
Round   13/30  coverage=0.4001  prec@K=0.0003  accepted=5  auc=0.4945  uauc=0.7778  loss=0.7281  (28.7s)
Round   14/30  coverage=0.4001  prec@K=0.0005  accepted=8  auc=0.5362  uauc=0.6339  loss=0.7276  (30.0s)
Round   15/30  coverage=0.4001  prec@K=0.0003  accepted=5  auc=0.2106  uauc=0.6667  loss=0.7273  (34.0s)
Round   16/30  coverage=0.4002  prec@K=0.0007  accepted=11  auc=0.3426  uauc=0.6925  loss=0.7267  (36.2s)
Round   17/30  coverage=0.4002  prec@K=0.0003  accepted=4  auc=0.5314  uauc=0.6667  loss=0.7264  (36.7s)
Round   18/30  coverage=0.4002  prec@K=0.0003  accepted=5  auc=0.3358  uauc=0.2667  loss=0.7259  (39.5s)
Round   19/30  coverage=0.4002  prec@K=0.0002  accepted=3  auc=0.3796  uauc=0.7778  loss=0.7257  (41.2s)
Round   20/30  coverage=0.4002  prec@K=0.0005  accepted=7  auc=0.3659  uauc=0.6587  loss=0.7251  (43.6s)
Round   21/30  coverage=0.4002  prec@K=0.0002  accepted=3  auc=0.3103  uauc=1.0000  loss=0.7249  (52.2s)
Round   22/30  coverage=0.4002  prec@K=0.0005  accepted=8  auc=0.3793  uauc=0.8056  loss=0.7244  (47.4s)
Round   23/30  coverage=0.4002  prec@K=0.0003  accepted=5  auc=0.1892  uauc=0.6444  loss=0.7239  (52.6s)
