round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.39999926554429593,0.0,0.0,14798.0,1572.0,0.0,0.0,0.11138914706513191,1558.0,2.9339622641509435,0.06507459317243515,0.0005317084217721217,0.0,,,,,,,,
1,0.4000102823798568,0.00040412204485754696,6.0,14847.0,1572.0,0.0,0.001272264631043257,0.11123804083964016,1558.0,,,,0.0,0.4,0.4,0.4666666666666666,0.6,0.5066666666666666,0.8,0.5316666666666666,1.0
2,0.40001579079763727,0.00020383204239706482,3.0,14718.0,1572.0,0.0,0.0006361323155216285,0.11194833153928956,1560.0,,,,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0
3,0.400024971493938,0.00033898305084745765,5.0,14750.0,1572.0,0.0,0.0019083969465648854,0.11185489095227813,1554.0,,,,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7857142857142857,1.0
4,0.40002680763319814,6.777822963264199e-05,1.0,14754.0,1572.0,0.0,0.0,0.11193173669869497,1561.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0
5,0.400037824468759,0.0004092769440654843,6.0,14660.0,1572.0,0.0,0.002544529262086514,0.1130642361111111,1563.0,,,,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8285714285714285,1.0
6,0.4000433328865394,0.00020528260572054194,3.0,14614.0,1572.0,0.0,0.001272264631043257,0.1122928876347587,1552.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0
7,0.4000543497221003,0.0004083021435862538,6.0,14695.0,1572.0,0.0,0.0,0.11285425101214575,1561.0,,,,0.0,0.0,0.0,0.2,0.4,0.24,0.6,0.29833333333333334,1.0
8,0.4000690388361815,0.0005368767196832427,8.0,14901.0,1572.0,0.0,0.001272264631043257,0.11056702859981549,1558.0,,,,0.0,0.4,0.4,0.5666666666666667,0.8,0.6166666666666666,1.0,0.6166666666666666,1.0
9,0.4000800556717424,0.000406393931183961,6.0,14764.0,1572.0,0.0,0.0006361323155216285,0.11181902784737634,1562.0,,,,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4861111111111111,1.0
10,0.4001020893428641,0.000815383570021064,12.0,14717.0,1572.0,0.0,0.0019083969465648854,0.11212535039171997,1560.0,2.790909090909091,0.06501362258316214,0.0005312501274887541,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3590909090909091,0.6363636363636364,0.40151515151515155,1.0
11,0.4001057616213844,0.00013580498404291438,2.0,14727.0,1572.0,0.0,0.0,0.1121912580110895,1558.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
12,0.40011677845694527,0.00040567951318458417,6.0,14790.0,1572.0,0.0,0.0006361323155216285,0.1116042665903071,1559.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.44166666666666665,1.0,0.44166666666666665,1.0
13,0.40012412301398587,0.00027010601661152004,4.0,14809.0,1572.0,0.0,0.0019083969465648854,0.11120634240411399,1557.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.40013146757102647,0.0002715730871070677,4.0,14729.0,1572.0,0.0,0.0006361323155216285,0.11200171759822515,1565.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.6666666666666666,0.45555555555555555,1.0
15,0.40013513984954674,0.0001349892008639309,2.0,14816.0,1572.0,0.0,0.0,0.11091259915672122,1552.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
