round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,auc_feedback,uauc_feedback,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.39999824554478025,0.0,0.0,2392.0,247.0,0.0,0.0,0.11338199513381995,233.0,2.0,0.1874589154322526,0.0036812381049180064,0.0,,,,,,,,,,
1,0.4000114039589282,0.0012494793835901709,3.0,2401.0,247.0,0.0,0.004048582995951417,0.11890547263681592,239.0,,,,0.0,0.4234778982485404,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.49206349206349204,1.0
2,0.40002456237307615,0.0012494793835901709,3.0,2401.0,247.0,0.0,0.0,0.11908320876930742,239.0,,,,0.0,0.25820127884348065,0.6481481481481481,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.26190476190476186,1.0
3,0.40002456237307615,0.0,0.0,2368.0,247.0,0.0,0.0,0.11936602278355622,241.0,,,,0.0,,,,,,,,,,
4,0.40004210692527337,0.0016508460586050352,4.0,2423.0,247.0,0.0,0.004048582995951417,0.11790606653620352,241.0,,,,0.0,0.2263848697809012,0.5138888888888888,0.25,0.25,0.375,0.5,0.375,0.5,0.4340277777777778,1.0
5,0.4000596514774706,0.0016556291390728477,4.0,2416.0,247.0,0.0,0.004048582995951417,0.11736411736411737,244.0,,,,0.0,0.32846185737976785,0.6412037037037037,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5111111111111111,1.0,0.5111111111111111,1.0
6,0.40007719602966785,0.0016460905349794238,4.0,2430.0,247.0,0.0,0.004048582995951417,0.11647173489278752,239.0,,,,0.0,0.24237427864798017,0.48148148148148145,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4583333333333333,1.0
7,0.4000991267199144,0.0020973154362416107,5.0,2384.0,247.0,0.0,0.004048582995951417,0.11984282907662082,244.0,,,,0.0,0.16460697772173183,0.4666666666666667,0.2,0.2,0.3333333333333333,0.6,0.3733333333333333,0.8,0.4066666666666666,1.0
8,0.4001210574101609,0.0020824656393169513,5.0,2401.0,247.0,0.0,0.0,0.1187192118226601,241.0,,,,0.0,0.373330550918197,0.5,0.0,0.0,0.08333333333333333,0.25,0.14583333333333331,0.5,0.20654761904761904,1.0
9,0.40012982968625954,0.0008257638315441783,2.0,2422.0,247.0,0.0,0.0,0.11529184756391703,239.0,,,,0.0,0.6909090909090909,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
10,0.4001386019623582,0.0008399832003359933,2.0,2381.0,247.0,0.0,0.004048582995951417,0.12083540527100944,243.0,2.0,0.1872806235405543,0.0036812381049180064,0.0,0.40710382513661203,0.3888888888888889,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0
11,0.400164918790654,0.002466091245376079,6.0,2433.0,247.0,0.0,0.0,0.11587147030185005,238.0,,,,0.0,0.28670512292267547,0.3666666666666667,0.0,0.0,0.16666666666666666,0.4,0.16666666666666666,0.4,0.25357142857142856,1.0
12,0.40018246334285124,0.0016764459346186086,4.0,2386.0,247.0,0.0,0.008097165991902834,0.11781888997078871,242.0,,,,0.0,0.3385810243492863,0.6875,0.5,0.5,0.625,0.75,0.625,0.75,0.65625,1.0
13,0.4002000078950485,0.0016701461377870565,4.0,2395.0,247.0,0.0,0.004048582995951417,0.11585665193912617,236.0,,,,0.0,0.29914261815140114,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.6666666666666666,0.4476190476190476,1.0
14,0.4002043940330978,0.00041288191577208916,1.0,2422.0,247.0,0.0,0.0,0.11613216715257532,239.0,,,,0.0,0.6296984717059066,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
15,0.4002043940330978,0.0,0.0,2413.0,247.0,0.0,0.0,0.11814556331006978,237.0,,,,0.0,,,,,,,,,,
16,0.4002131663091964,0.0008288437629506838,2.0,2413.0,247.0,0.0,0.0,0.11827956989247312,242.0,,,,0.0,0.2876399834093737,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.11805555555555555,1.0
17,0.40022632472334435,0.0012578616352201257,3.0,2385.0,247.0,0.0,0.004048582995951417,0.11724137931034483,238.0,,,,0.0,0.3182899524209347,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5,1.0
18,0.40023071086139367,0.0004144218814753419,1.0,2413.0,247.0,0.0,0.0,0.11631345490389354,236.0,,,,0.0,0.548922056384743,0.5,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0
19,0.400235096999443,0.00041322314049586776,1.0,2420.0,247.0,0.0,0.0,0.11793611793611794,240.0,,,,0.0,0.5134353038445638,0.33333333333333337,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0
20,0.4002482554135909,0.001254180602006689,3.0,2392.0,247.0,0.0,0.0,0.11982248520710059,243.0,2.0,0.18716453046734602,0.0036746074715896964,0.0,0.2241523650062788,0.4074074074074074,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.20039682539682538,1.0
21,0.4002570276896895,0.0008206811653672548,2.0,2437.0,247.0,0.0,0.0,0.1199400299850075,240.0,,,,0.0,0.26889117043121147,0.5833333333333334,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.22916666666666666,1.0
22,0.40028334451798536,0.002510460251046025,6.0,2390.0,247.0,0.0,0.0,0.11692759295499021,239.0,,,,0.0,0.43648629753914986,0.5256944444444445,0.0,0.0,0.13333333333333333,0.4,0.2333333333333333,0.8,0.2533333333333333,1.0
23,0.4002965029321333,0.0012494793835901709,3.0,2401.0,247.0,0.0,0.0,0.12060301507537688,240.0,,,,0.0,0.5072977481234362,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.1619047619047619,1.0
24,0.4003140474843305,0.0016313213703099511,4.0,2452.0,247.0,0.0,0.0,0.11759036144578314,244.0,,,,0.0,0.4369893790849674,0.5,0.0,0.0,0.25,0.5,0.25,0.5,0.3090277777777778,1.0
25,0.40031843362237984,0.00042158516020236085,1.0,2372.0,247.0,0.0,0.0,0.11944027986006997,239.0,,,,0.0,0.19422184732180514,0.05555555555555558,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
26,0.40032281976042916,0.00041254125412541255,1.0,2424.0,247.0,0.0,0.0,0.11579980372914622,236.0,,,,0.0,0.28332645480808916,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0
27,0.4003403643126264,0.0016625103906899418,4.0,2406.0,247.0,0.0,0.008097165991902834,0.11811023622047244,240.0,,,,0.0,0.2984492089925062,0.6527777777777778,0.5,0.5,0.5,0.5,0.6125,1.0,0.6125,1.0
28,0.4003403643126264,0.0,0.0,2414.0,247.0,0.0,0.0,0.11604095563139932,238.0,,,,0.0,,,,,,,,,,
29,0.4003447504506757,0.000425531914893617,1.0,2350.0,247.0,0.0,0.0,0.1207335710646969,237.0,,,,0.0,0.6426138782460622,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
