round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
0,0.5008868742609381,0.009863013698630137,18.0,1825.0,189.0,0.0,1.0,1.0,1.0,1.0,0.05584619967317853,0.07587443264546825
1,0.5016259361450532,0.008134490238611713,15.0,1844.0,189.0,0.0,1.0,1.0,1.0,1.0,,
2,0.50261135199054,0.011013215859030838,20.0,1816.0,189.0,0.0,1.0,1.0,1.0,1.0,,
3,0.5032518722901064,0.007158590308370044,13.0,1816.0,189.0,0.0,1.0,1.0,1.0,1.0,,
4,0.5043851005124163,0.012547735951991271,23.0,1833.0,189.0,0.0,1.0,1.0,1.0,1.0,,
5,0.5050256208119827,0.0071154898741105635,13.0,1827.0,189.0,0.0,1.0,1.0,1.0,1.0,,
6,0.5056168703192747,0.006553795740032769,12.0,1831.0,189.0,0.0,1.0,1.0,1.0,1.0,,
7,0.5064544737879385,0.009402654867256638,17.0,1808.0,189.0,0.0,1.0,1.0,1.0,1.0,,
8,0.5073413480488767,0.009911894273127754,18.0,1816.0,189.0,0.0,1.0,1.0,1.0,1.0,,
9,0.5078833267638944,0.0059978189749182115,11.0,1834.0,189.0,0.0,1.0,1.0,1.0,1.0,,
10,0.5084745762711864,0.006543075245365322,12.0,1834.0,189.0,0.0,1.0,1.0,1.0,1.0,0.048874814615746734,0.04880249231889566
11,0.5088687426093812,0.0043907793633369925,8.0,1822.0,189.0,0.0,1.0,1.0,1.0,1.0,,
12,0.5093121797398502,0.0049586776859504135,9.0,1815.0,189.0,0.0,1.0,1.0,1.0,1.0,,
13,0.510001970831691,0.007543103448275862,14.0,1856.0,189.0,0.0,1.0,1.0,1.0,1.0,,
14,0.5105439495467087,0.005962059620596206,11.0,1845.0,189.0,0.0,1.0,1.0,1.0,1.0,,
15,0.5110366574694521,0.00552791597567717,10.0,1809.0,189.0,0.0,1.0,1.0,1.0,1.0,,
16,0.5112830114308238,0.002748763056624519,5.0,1819.0,189.0,0.0,1.0,1.0,1.0,1.0,,
17,0.5117264485612929,0.004862236628849271,9.0,1851.0,189.0,0.0,1.0,1.0,1.0,1.0,,
18,0.5118742609381158,0.001654715940430226,3.0,1813.0,189.0,0.0,1.0,1.0,1.0,1.0,,
19,0.5121206148994876,0.002767017155506364,5.0,1807.0,189.0,0.0,1.0,1.0,1.0,1.0,,
20,0.5124162396531337,0.0032626427406199023,6.0,1839.0,189.0,0.0,1.0,1.0,1.0,1.0,0.04558240099878801,0.04948644993663925
21,0.5126133228222309,0.0021893814997263274,4.0,1827.0,189.0,0.0,1.0,1.0,1.0,1.0,,
22,0.5128596767836027,0.0027457440966501922,5.0,1821.0,189.0,0.0,1.0,1.0,1.0,1.0,,
23,0.5129582183681514,0.0010911074740861974,2.0,1833.0,189.0,0.0,1.0,1.0,1.0,1.0,,
24,0.5134016554986204,0.004888647474198805,9.0,1841.0,189.0,0.0,1.0,1.0,1.0,1.0,,
