C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/500  coverage=0.2565  prec@K=0.0240  accepted=36  loss=0.7299  (0.6s)
Round   51/500  coverage=0.4006  prec@K=0.0000  accepted=0  loss=0.6167  (1.0s)
Round  101/500  coverage=0.4018  prec@K=0.0000  accepted=0  loss=0.2990  (1.2s)
Round  151/500  coverage=0.4029  prec@K=0.0000  accepted=0  loss=0.0384  (1.0s)
Round  201/500  coverage=0.4055  prec@K=0.0006  accepted=1  loss=0.0141  (0.9s)
Round  251/500  coverage=0.4073  prec@K=0.0000  accepted=0  loss=0.0042  (0.7s)
Round  301/500  coverage=0.4076  prec@K=0.0000  accepted=0  loss=0.0026  (0.7s)
Round  351/500  coverage=0.4095  prec@K=0.0000  accepted=0  loss=0.0019  (0.7s)
Round  401/500  coverage=0.4102  prec@K=0.0000  accepted=0  loss=0.0017  (0.5s)
Round  451/500  coverage=0.4111  prec@K=0.0000  accepted=0  loss=0.0018  (0.6s)

结果已写入 results\online\algo_sweep\dnc_email_gnn/rounds.csv
