round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,auc_feedback,uauc_feedback,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.2999986841585852,0.0,0.0,2400.0,247.0,0.0,0.0,0.1158357771260997,237.0,2.0,0.21038204392383736,0.005000318481271954,0.0,,,,,,,,,,
1,0.30000307029663453,0.0004192872117400419,1.0,2385.0,247.0,0.0,0.0,0.11849281110560238,239.0,,,,0.0,0.1023489932885906,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0
2,0.3000293871249304,0.002524190155658393,6.0,2377.0,247.0,0.0,0.0,0.12003968253968254,242.0,,,,0.0,0.31171798116125404,0.42708333333333337,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,0.2,0.1622222222222222,1.0
3,0.3000425455390783,0.0012381345439537762,3.0,2423.0,247.0,0.0,0.004048582995951417,0.11642821904292057,236.0,,,,0.0,0.44573002754820934,0.7962962962962963,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5333333333333333,1.0
4,0.3000513178151769,0.0008382229673093043,2.0,2386.0,247.0,0.0,0.0,0.11468330134357006,239.0,,,,0.0,0.07602768456375839,0.20833333333333334,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.2222222222222222,1.0
5,0.30006009009127554,0.0008403361344537816,2.0,2380.0,247.0,0.0,0.008097165991902834,0.11683848797250859,238.0,,,,0.0,0.6026072329688814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.3000907930576207,0.002898550724637681,7.0,2415.0,247.0,0.0,0.008097165991902834,0.1164150024354603,239.0,,,,0.0,0.2984397247271001,0.5793650793650793,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.38571428571428573,0.5714285714285714,0.43968253968253973,1.0
7,0.3001214960239659,0.0029142381348875937,7.0,2402.0,247.0,0.0,0.012145748987854251,0.1128180508881421,235.0,,,,0.0,0.48813003280644196,0.6507936507936508,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5346938775510204,1.0
8,0.3001390405761631,0.0016400164001640015,4.0,2439.0,247.0,0.0,0.0,0.1126360624704212,238.0,,,,0.0,0.13973305954825463,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.150297619047619,1.0
9,0.3001478128522617,0.0008288437629506838,2.0,2413.0,247.0,0.0,0.004048582995951417,0.11998041136141038,245.0,,,,0.0,0.1636250518457072,0.7222222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.55,1.0
