round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,unique_recs@5,novelty,clustering_diff,degree_kl,replay_size
0,0.0683878596767836,0.03726362625139043,67.0,1798.0,189.0,0.0,0.32111111395061015,0.37119929840167365,0.37119929840167365,0.5666666666666667,0.13756613756613756,0.5771144278606966,580.0,4.0,0.08250261112815915,2.522274594620325,1.0
1,0.07011233740638549,0.03821656050955414,66.0,1727.0,189.0,0.0,0.21556547869529044,0.2806731906852552,0.2806731906852552,0.4827380952380952,0.13227513227513227,0.5955056179775281,583.0,,,,2.0
2,0.07178754434371305,0.040516735173223725,69.0,1703.0,189.0,0.0,0.28661616349762137,0.3366722816770727,0.3366722816770727,0.5757575757575758,0.17989417989417988,0.6364572605561277,618.0,,,,3.0
3,0.07277296018919985,0.03185437997724687,56.0,1758.0,189.0,0.0,0.2170833356678486,0.2734623044729233,0.2734623044729233,0.5,0.12698412698412698,0.6302521008403361,600.0,,,,4.0
4,0.07434962554197871,0.03605200945626478,61.0,1692.0,189.0,0.0,0.39814814801017445,0.4487279544274012,0.4487279544274012,0.5777777777777777,0.15873015873015872,0.6352331606217616,613.0,,,,5.0
5,0.07567993693338589,0.03923831506058857,68.0,1733.0,189.0,0.0,0.24780701885097906,0.31663534398141663,0.31663534398141663,0.4298245614035087,0.13756613756613756,0.6239837398373984,614.0,,,,6.0
6,0.07701024832479306,0.031425364758698095,56.0,1782.0,189.0,0.0,0.19666666746139527,0.2736798965930939,0.2736798965930939,0.36,0.1164021164021164,0.6119096509240246,596.0,,,,7.0
7,0.07819274733937721,0.033010813887307915,58.0,1757.0,189.0,0.0,0.1720833346247673,0.23982143066823483,0.23982143066823483,0.4,0.10582010582010581,0.6338028169014085,585.0,,,,8.0
8,0.07912889239258968,0.033218785796105384,58.0,1746.0,189.0,0.0,0.26574074145820403,0.33325984867082703,0.33325984867082703,0.4166666666666667,0.15873015873015872,0.6111111111111112,583.0,,,,9.0
9,0.08026212061489948,0.035280508964719494,61.0,1729.0,189.0,0.0,0.1091049396329456,0.19596928647822803,0.19596928647822803,0.24074074074074073,0.1164021164021164,0.6244588744588745,577.0,,,,10.0
10,0.08159243200630666,0.040687679083094556,71.0,1745.0,189.0,0.0,0.07500000121562105,0.16852374178798576,0.16852374178798576,0.18859649122807018,0.10582010582010581,0.6275565123789021,583.0,3.1485714285714286,0.0617932627866922,1.6620489209603433,11.0
11,0.0821344107213244,0.025500910746812388,42.0,1647.0,189.0,0.0,0.25,0.3338712533315023,0.3338712533315023,0.3333333333333333,0.10582010582010581,0.6511891279728199,575.0,,,,12.0
12,0.08321836815135987,0.03227665706051873,56.0,1735.0,189.0,0.0,0.150877194185006,0.23530702018424085,0.23530702018424085,0.3157894736842105,0.1164021164021164,0.6172566371681416,558.0,,,,13.0
13,0.0836125344895546,0.026300743281875358,46.0,1749.0,189.0,0.0,0.39814814925193787,0.43410493930180866,0.43410493930180866,0.6666666666666666,0.13227513227513227,0.6404494382022472,570.0,,,,14.0
14,0.08385888845092629,0.026391279403327597,46.0,1743.0,189.0,0.0,0.2583333334575097,0.3390211649239063,0.3390211649239063,0.375,0.1111111111111111,0.6535947712418301,600.0,,,,15.0
15,0.08425305478912101,0.018369690011481057,32.0,1742.0,189.0,0.0,0.03125,0.13159722369164228,0.13159722369164228,0.125,0.06349206349206349,0.6491228070175439,592.0,,,,16.0
16,0.08440086716594403,0.02710495963091119,47.0,1734.0,189.0,0.0,0.3777777800957362,0.42777778084079426,0.42777778084079426,0.5,0.12698412698412698,0.6555793991416309,611.0,,,,17.0
17,0.0847457627118644,0.024691358024691357,42.0,1701.0,189.0,0.0,0.16018518805503845,0.20324074601133665,0.20324074601133665,0.611111111111111,0.09523809523809523,0.6526674233825198,575.0,,,,18.0
18,0.08523847063460781,0.025157232704402517,44.0,1749.0,189.0,0.0,0.1111111111111111,0.21124338772561815,0.21124338772561815,0.1111111111111111,0.09523809523809523,0.6271186440677966,555.0,,,,19.0
