round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,auc_feedback,uauc_feedback,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.5999988983164439,0.0,0.0,14302.0,1572.0,0.0,0.0,0.12165584929555169,1537.0,2.0,0.04804729766464409,0.0009369551122994997,0.0,,,,,,,,,,
1,0.6000080790127447,0.00034848062447727905,5.0,14348.0,1572.0,0.0,0.0,0.12038712723266976,1530.0,,,,0.0,0.2830161054172768,0.5888888888888889,0.0,0.0,0.1,0.2,0.22999999999999998,0.8,0.25857142857142856,1.0
2,0.6000117512912649,0.00013846579894765993,2.0,14444.0,1572.0,0.0,0.0006361323155216285,0.12159063957625109,1538.0,,,,0.0,0.30650186954715414,0.5,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
3,0.6000190958483055,0.0002793686269031988,4.0,14318.0,1572.0,0.0,0.0019083969465648854,0.1213395762241092,1529.0,,,,0.0,0.6087920916585161,0.9444444444444444,0.75,0.75,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0
4,0.600024604266086,0.00020911752404851526,3.0,14346.0,1572.0,0.0,0.0,0.12102970297029703,1528.0,,,,0.0,0.34742847846800995,0.5185185185185185,0.0,0.0,0.38888888888888884,1.0,0.38888888888888884,1.0,0.38888888888888884,1.0
5,0.6000282765446062,0.00013935340022296544,2.0,14352.0,1572.0,0.0,0.0,0.12116418854792788,1532.0,,,,0.0,0.6431358885017422,0.5555555555555556,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0
6,0.6000301126838664,6.98616738857063e-05,1.0,14314.0,1572.0,0.0,0.0,0.12068830046358137,1536.0,,,,0.0,0.28477607769160906,0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
7,0.6000337849623867,0.00013766519823788548,2.0,14528.0,1572.0,0.0,0.0,0.12014411027568922,1534.0,,,,0.0,0.48390816467024644,0.3055555555555556,0.0,0.0,0.0,0.0,0.1,0.5,0.15000000000000002,1.0
8,0.600037457240907,0.00013854253255749516,2.0,14436.0,1572.0,0.0,0.0,0.12036963904904825,1524.0,,,,0.0,0.25235554939725646,0.33333333333333337,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
9,0.6000466379372077,0.0003479229002852968,5.0,14371.0,1572.0,0.0,0.0006361323155216285,0.12146356883198989,1537.0,,,,0.0,0.41465265209522484,0.7777777777777778,0.2,0.2,0.5333333333333333,1.0,0.5333333333333333,1.0,0.5333333333333333,1.0
10,0.6000539824942482,0.0002794076557697681,4.0,14316.0,1572.0,0.0,0.0006361323155216285,0.12107376210344013,1538.0,2.0,0.04798061101647232,0.0009361481809702045,0.0,0.3532175796534377,0.5532407407407408,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4777777777777778,1.0
11,0.600063163190549,0.00035488679111363473,5.0,14089.0,1572.0,0.0,0.001272264631043257,0.12354030764274784,1534.0,,,,0.0,0.37624254473161034,0.7017195767195767,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,1.0
