round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size,mrr@5,hits@5
0,0.0480225988700565,0.0,0.0,190.0,38.0,0.0,0.0,0.4166666666666667,,0.6300937117554578,0.09435665768575689,0.0,,
1,0.0480225988700565,0.0,0.0,190.0,38.0,0.0,0.0,0.4010416666666667,2.0,0.6300937117554578,0.09435665768575689,0.0,,
2,0.06779661016949153,0.04736842105263158,9.0,190.0,38.0,0.0,0.05263157894736842,0.453125,1.3571428571428572,0.6300937117554578,0.09435665768575689,0.0,1.0,1.0
