round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.49999780693097534,0.47122568290949185,0.5019157088122606,0.012053200332502078,29.0,2406.0,247.0,0.0,0.012145748987854251,0.11637931034482758,243.0,1.9881656804733727,0.16188358040233988,0.00653214597497562,0.0,,,,,,,,
1,0.49999780693097534,0.4697187368199072,0.5207373271889401,0.013316687473990845,32.0,2403.0,247.0,0.0,0.016194331983805668,0.11597690086621752,241.0,,,,0.0,,,,,,,,
2,0.5000065792070739,0.47891603115696746,0.5076388888888889,0.012895174708818636,31.0,2404.0,247.0,0.0,0.012145748987854251,0.1166747690811862,240.0,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.18333333333333335,1.0
3,0.5000109653451232,0.4953068893528184,0.5024801587301587,0.010330578512396695,25.0,2420.0,247.0,0.0,0.012145748987854251,0.1162109375,238.0,,,,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
4,0.5000285098973205,0.4451870245139476,0.4772727272727273,0.0100418410041841,24.0,2390.0,247.0,0.0,0.012145748987854251,0.11960784313725491,244.0,,,,0.0,0.25,0.25,0.5416666666666666,1.0,0.5416666666666666,1.0,0.5416666666666666,1.0
5,0.5000372821734191,0.4219465189111058,0.49845679012345684,0.008775595486836606,21.0,2393.0,247.0,0.0,0.004048582995951417,0.12009925558312655,242.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12698412698412698,1.0
6,0.5000504405875671,0.5305513240702273,0.5102880658436214,0.011092851273623664,27.0,2434.0,247.0,0.0,0.012145748987854251,0.11458834857968224,238.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333334,1.0,0.7333333333333334,1.0
7,0.5000767574158629,0.5435039090262971,0.5134310134310135,0.01263157894736842,30.0,2375.0,247.0,0.0,0.008097165991902834,0.11603273952816562,241.0,,,,0.0,0.25,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,0.4107142857142857,1.0
8,0.5000855296919615,0.5391618410841144,0.5381944444444444,0.008699254349627174,21.0,2414.0,247.0,0.0,0.012145748987854251,0.116144578313253,241.0,,,,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.55,1.0
9,0.5000986881061095,0.4884143654524089,0.5615942028985507,0.009619406106231703,23.0,2391.0,247.0,0.0,0.012145748987854251,0.1199017199017199,244.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0
10,0.5001250049344053,0.38151673640167366,0.5737847222222222,0.01646090534979424,40.0,2430.0,247.0,0.0,0.032388663967611336,0.11559009227780476,238.0,1.964071856287425,0.16014439825354987,0.006537020362590681,0.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.596031746031746,1.0
