round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
0,0.05084745762711865,0.010632014176018901,18.0,1693.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.3617693522906793,3.557377049180328,0.0852317849645519,0.520571977204634,0.0
1,0.05138943634213638,0.006590772917914919,11.0,1669.0,189.0,0.0,1.0,1.0,1.0,1.0,0.042328042328042326,0.36334913112164297,4.054054054054054,,,0.0
2,0.051931415057154116,0.006347374495095211,11.0,1733.0,189.0,0.0,1.0,1.0,1.0,1.0,0.037037037037037035,0.37598736176935227,4.2592592592592595,,,0.0
3,0.052424122979897514,0.005750431282346176,10.0,1739.0,189.0,0.0,1.0,1.0,1.0,1.0,0.031746031746031744,0.3701948393891522,4.121212121212121,,,0.0
4,0.05271974773354356,0.0035356511490866236,6.0,1697.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.3644023170089521,3.574074074074074,,,0.0
5,0.05345880961765865,0.00892325996430696,15.0,1681.0,189.0,0.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.3638757240652975,3.875,,,0.0
6,0.05395151754040205,0.005817335660267597,10.0,1719.0,189.0,0.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.37598736176935227,3.588235294117647,,,0.0
7,0.054641308632242806,0.008244994110718492,14.0,1698.0,189.0,0.0,1.0,1.0,1.0,1.0,0.05291005291005291,0.36808846761453395,2.9444444444444446,,,0.0
8,0.05508474576271186,0.005309734513274336,9.0,1695.0,189.0,0.0,1.0,1.0,1.0,1.0,0.037037037037037035,0.3744075829383886,3.625,,,0.0
9,0.055380370516357906,0.0034904013961605585,6.0,1719.0,189.0,0.0,1.0,1.0,1.0,1.0,0.015873015873015872,0.37335439705107953,4.212121212121212,,,0.0
