=== sx_mathoverflow_graphsage_emb_s0  started 2026-05-07T02:47:00 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0037  accepted=9  auc=0.9039  uauc=0.6726  loss=0.6882  (3.8s)
Round    2/30  coverage=0.4001  prec@K=0.0047  accepted=11  auc=0.7967  uauc=0.4604  loss=0.6872  (1.0s)
Round    3/30  coverage=0.4002  prec@K=0.0062  accepted=15  auc=0.8777  uauc=0.5044  loss=0.6876  (1.0s)
Round    4/30  coverage=0.4002  prec@K=0.0021  accepted=5  auc=0.8480  uauc=0.5781  loss=0.6870  (1.1s)
Round    5/30  coverage=0.4002  prec@K=0.0041  accepted=10  auc=0.8297  uauc=0.6847  loss=0.6866  (1.1s)
Round    6/30  coverage=0.4003  prec@K=0.0038  accepted=9  auc=0.8233  uauc=0.5565  loss=0.6860  (1.0s)
Round    7/30  coverage=0.4003  prec@K=0.0034  accepted=8  auc=0.8588  uauc=0.8254  loss=0.6859  (1.0s)
Round    8/30  coverage=0.4003  prec@K=0.0013  accepted=3  auc=0.9067  uauc=0.4259  loss=0.6852  (1.2s)
Round    9/30  coverage=0.4004  prec@K=0.0084  accepted=20  auc=0.8475  uauc=0.6168  loss=0.6855  (1.2s)
Round   10/30  coverage=0.4004  prec@K=0.0004  accepted=1  auc=0.9402  uauc=0.6667  loss=0.6839  (1.2s)
Round   11/30  coverage=0.4004  prec@K=0.0046  accepted=11  auc=0.8960  uauc=0.7263  loss=0.6851  (3.1s)
Round   12/30  coverage=0.4005  prec@K=0.0025  accepted=6  auc=0.8485  uauc=0.5926  loss=0.6842  (1.2s)
Round   13/30  coverage=0.4005  prec@K=0.0017  accepted=4  auc=0.8592  uauc=0.5926  loss=0.6839  (1.2s)
Round   14/30  coverage=0.4005  prec@K=0.0037  accepted=9  auc=0.8687  uauc=0.5129  loss=0.6843  (1.3s)
Round   15/30  coverage=0.4005  prec@K=0.0012  accepted=3  auc=0.8225  uauc=0.5000  loss=0.6833  (1.3s)
Round   16/30  coverage=0.4006  prec@K=0.0051  accepted=12  auc=0.7659  uauc=0.6431  loss=0.6830  (1.2s)
Round   17/30  coverage=0.4006  prec@K=0.0046  accepted=11  auc=0.8452  uauc=0.7012  loss=0.6829  (1.2s)
Round   18/30  coverage=0.4007  prec@K=0.0034  accepted=8  auc=0.8608  uauc=0.5278  loss=0.6821  (1.2s)
Round   19/30  coverage=0.4007  prec@K=0.0063  accepted=15  auc=0.8459  uauc=0.4779  loss=0.6823  (1.3s)
Round   20/30  coverage=0.4008  prec@K=0.0046  accepted=11  auc=0.8600  uauc=0.7096  loss=0.6822  (1.2s)
Round   21/30  coverage=0.4008  prec@K=0.0021  accepted=5  auc=0.8571  uauc=0.7556  loss=0.6818  (3.3s)
Round   22/30  coverage=0.4008  prec@K=0.0029  accepted=7  auc=0.8231  uauc=0.5143  loss=0.6815  (1.4s)
Round   23/30  coverage=0.4009  prec@K=0.0038  accepted=9  auc=0.8828  uauc=0.6819  loss=0.6811  (1.2s)
Round   24/30  coverage=0.4009  prec@K=0.0021  accepted=5  auc=0.8911  uauc=0.6889  loss=0.6808  (1.4s)
Round   25/30  coverage=0.4009  prec@K=0.0017  accepted=4  auc=0.8406  uauc=0.4444  loss=0.6809  (1.4s)
Round   26/30  coverage=0.4010  prec@K=0.0033  accepted=8  auc=0.8248  uauc=0.3810  loss=0.6801  (1.5s)
Round   27/30  coverage=0.4010  prec@K=0.0050  accepted=12  auc=0.8521  uauc=0.7841  loss=0.6802  (1.4s)
Round   28/30  coverage=0.4011  prec@K=0.0042  accepted=10  auc=0.8506  uauc=0.5667  loss=0.6796  (1.5s)
Round   29/30  coverage=0.4011  prec@K=0.0016  accepted=4  auc=0.8597  uauc=0.6389  loss=0.6796  (1.5s)
Round   30/30  coverage=0.4011  prec@K=0.0042  accepted=10  auc=0.8263  uauc=0.6200  loss=0.6791  (1.4s)

结果已写入 results\orchestrator\runs\ir40_constlr5e5\sx_mathoverflow\graphsage_emb/rounds.csv
