round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.4999990819303699,0.5250420534024373,0.5031970513266134,0.010235343266954463,147.0,14362.0,1572.0,0.0,0.013358778625954198,0.12088432688511647,1531.0,2.0942028985507246,0.05679377419991547,0.0009564332523343991,0.0,,,,,,,,
1,0.5000045903481504,0.4093318367052544,0.4840175150519979,0.010851419031719533,156.0,14376.0,1572.0,0.0,0.009541984732824428,0.12052969629688368,1520.0,,,,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6666666666666666,0.16666666666666666,1.0
2,0.5000137710444511,0.49879016088657746,0.4979768153980752,0.009550173010380622,138.0,14450.0,1572.0,0.0,0.006997455470737914,0.12088698140200287,1521.0,,,,0.0,0.2,0.2,0.2,0.2,0.27999999999999997,0.6,0.32857142857142857,1.0
3,0.5000174433229714,0.5127187922414964,0.5009746588693957,0.008495821727019499,122.0,14360.0,1572.0,0.0,0.013994910941475827,0.12051363853884192,1511.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.5000284601585323,0.49731299411921204,0.49349148418491484,0.009909281228192603,142.0,14330.0,1572.0,0.0,0.01272264631043257,0.12173078461169319,1522.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.4222222222222222,1.0,0.4222222222222222,1.0
5,0.5000394769940931,0.5311055564620004,0.4937333393917364,0.009695194252633047,139.0,14337.0,1572.0,0.0,0.010178117048346057,0.12120728201852443,1518.0,,,,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.13981481481481478,1.0
6,0.5000431492726134,0.48378032756112443,0.49621534219748514,0.011275055679287304,162.0,14368.0,1572.0,0.0,0.013358778625954198,0.1214893786299626,1527.0,,,,0.0,0.0,0.0,0.16666666666666666,0.5,0.26666666666666666,1.0,0.26666666666666666,1.0
7,0.5000523299689141,0.5032619101472298,0.49708506445083633,0.010960226097745916,159.0,14507.0,1572.0,0.0,0.014631043256997456,0.11873913730447148,1503.0,,,,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.22714285714285715,1.0
8,0.5000560022474344,0.5450650382689732,0.4866379310344828,0.010880937434609751,156.0,14337.0,1572.0,0.0,0.007633587786259542,0.12068277897423627,1513.0,,,,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.6145833333333333,1.0
9,0.5000615106652149,0.48746821063432155,0.5042063492063492,0.010168302945301542,145.0,14260.0,1572.0,0.0,0.006997455470737914,0.1227465747936864,1532.0,,,,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333334,1.0,0.5833333333333334,1.0
10,0.5000651829437351,0.4692700325289989,0.5044004552725483,0.009441219665710888,135.0,14299.0,1572.0,0.0,0.006997455470737914,0.1209556205996361,1529.0,2.099290780141844,0.052434397543913124,0.0009565854807616157,0.0,0.0,0.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.41666666666666663,1.0
11,0.5000670190829953,0.5373955453995676,0.5275132275132276,0.009854661467564694,139.0,14105.0,1572.0,0.0,0.009541984732824428,0.1230149133413946,1526.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.5000780359185562,0.49513746262970915,0.5043910256410256,0.009482638404685538,136.0,14342.0,1572.0,0.0,0.008905852417302799,0.12117581276459781,1517.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.4083333333333334,0.8333333333333334,0.42685185185185187,1.0
13,0.5000817081970765,0.5066481887512772,0.5013227513227514,0.010807066158642189,156.0,14435.0,1572.0,0.0,0.010178117048346057,0.12017032013877937,1524.0,,,,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
14,0.5000945611718975,0.47554785049817005,0.497668006596578,0.01121508187697812,163.0,14534.0,1572.0,0.0,0.010178117048346057,0.12020059551794389,1534.0,,,,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.39285714285714285,0.5714285714285714,0.4642857142857143,1.0
15,0.5001037418681983,0.46953534878487047,0.5136437908496732,0.009655459849958322,139.0,14396.0,1572.0,0.0,0.015903307888040712,0.12021469729260399,1523.0,,,,0.0,0.4,0.4,0.4666666666666666,0.6,0.5066666666666666,0.8,0.5288888888888889,1.0
16,0.5001110864252388,0.4852001544880408,0.5003418803418804,0.009109382664144069,130.0,14271.0,1572.0,0.0,0.010178117048346057,0.12237170708128575,1519.0,,,,0.0,0.25,0.25,0.41666666666666663,0.75,0.4666666666666666,1.0,0.4666666666666666,1.0
17,0.5001147587037591,0.4916295037870744,0.5002057613168723,0.009812854839840192,140.0,14267.0,1572.0,0.0,0.010178117048346057,0.12169947191550648,1521.0,,,,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3055555555555556,1.0
18,0.5001202671215396,0.515766590438015,0.4826923076923077,0.009241108933071968,132.0,14284.0,1572.0,0.0,0.007633587786259542,0.12213618583858865,1530.0,,,,0.0,0.0,0.0,0.16666666666666666,0.5,0.29166666666666663,1.0,0.29166666666666663,1.0
19,0.5001239394000598,0.4839884733142862,0.49882119514472456,0.010097468620713835,144.0,14261.0,1572.0,0.0,0.006997455470737914,0.12176706827309237,1516.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,1.0
20,0.5001294478178403,0.5307742229706027,0.516029299847793,0.010826566729127629,156.0,14409.0,1572.0,0.0,0.007633587786259542,0.12100438421681944,1518.0,2.039473684210526,0.04814965152139468,0.0009567578142928173,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.20370370370370372,1.0
21,0.5001294478178403,0.4716693067713449,0.5095221831902159,0.008811489627419691,127.0,14413.0,1572.0,0.0,0.007633587786259542,0.12255019598432125,1532.0,,,,0.0,,,,,,,,
22,0.5001331200963606,0.48007593514275054,0.49084201388888893,0.011972674131981125,170.0,14199.0,1572.0,0.0,0.006361323155216285,0.1223246492985972,1526.0,,,,0.0,0.0,0.0,0.16666666666666666,0.5,0.29166666666666663,1.0,0.29166666666666663,1.0
23,0.500138628514141,0.4758731701390998,0.4858970342522974,0.011396210585191918,163.0,14303.0,1572.0,0.0,0.006997455470737914,0.12164536741214058,1523.0,,,,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.16428571428571428,1.0
24,0.5001423007926613,0.5188840959726154,0.5065676141257537,0.009373251259093452,134.0,14296.0,1572.0,0.0,0.007633587786259542,0.12275928297055058,1534.0,,,,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.625,1.0
25,0.5001533176282222,0.5176217511930299,0.5244341563786008,0.009908536585365854,143.0,14432.0,1572.0,0.0,0.010178117048346057,0.11978380096971623,1507.0,,,,0.0,0.16666666666666666,0.16666666666666666,0.47222222222222215,0.8333333333333334,0.47222222222222215,0.8333333333333334,0.49074074074074076,1.0
26,0.5001588260460026,0.48684265873989574,0.5155413409144753,0.009996480112636395,142.0,14205.0,1572.0,0.0,0.010178117048346057,0.12163134746101559,1521.0,,,,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.27777777777777773,0.6666666666666666,0.3148148148148148,1.0
27,0.5001643344637831,0.5158110492502046,0.5227272727272727,0.010182731203794114,146.0,14338.0,1572.0,0.0,0.01272264631043257,0.12080643876006056,1516.0,,,,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,1.0
28,0.5001698428815635,0.4830121254373323,0.511843607305936,0.010774505002448751,154.0,14293.0,1572.0,0.0,0.015903307888040712,0.12137203166226913,1518.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.500175351299344,0.5179568390947191,0.49422860360360366,0.010918700883232492,157.0,14379.0,1572.0,0.0,0.008905852417302799,0.1202677930979517,1509.0,,,,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3611111111111111,1.0,0.3611111111111111,1.0
