round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
0,0.20092629089475758,0.011269276393831554,19.0,1686.0,189.0,0.0,1.0,1.0,1.0,1.0,0.07706314826316557,0.07024925244468756
1,0.20201024832479306,0.012578616352201259,22.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,,
2,0.20260149783208514,0.0069164265129683,12.0,1735.0,189.0,0.0,1.0,1.0,1.0,1.0,,
3,0.20334055971620024,0.008571428571428572,15.0,1750.0,189.0,0.0,1.0,1.0,1.0,1.0,,
4,0.20437524635396137,0.011653718091009988,21.0,1802.0,189.0,0.0,1.0,1.0,1.0,1.0,,
5,0.20506503744580212,0.008225616921269096,14.0,1702.0,189.0,0.0,1.0,1.0,1.0,1.0,,
6,0.20570555774536856,0.007307476110174255,13.0,1779.0,189.0,0.0,1.0,1.0,1.0,1.0,,
7,0.20605045329128893,0.0039303761931499155,7.0,1781.0,189.0,0.0,1.0,1.0,1.0,1.0,,
8,0.2062968072526606,0.00281214848143982,5.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,,
9,0.20698659834450137,0.0078125,14.0,1792.0,189.0,0.0,1.0,1.0,1.0,1.0,,
10,0.20767638943634215,0.007972665148063782,14.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06902520044157053,0.0834492340220933
11,0.2081198265668112,0.0050561797752808986,9.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,,
12,0.2085139929050059,0.0044994375703037125,8.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,,
13,0.20920378399684667,0.007905138339920948,14.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,,
14,0.20949940875049272,0.003409090909090909,6.0,1760.0,189.0,0.0,1.0,1.0,1.0,1.0,,
15,0.2104848245959795,0.011198208286674132,20.0,1786.0,189.0,0.0,1.0,1.0,1.0,1.0,,
16,0.2111253448955459,0.0072869955156950675,13.0,1784.0,189.0,0.0,1.0,1.0,1.0,1.0,,
17,0.21132242806464327,0.002328288707799767,4.0,1718.0,189.0,0.0,1.0,1.0,1.0,1.0,,
18,0.21166732361056365,0.003975014196479273,7.0,1761.0,189.0,0.0,1.0,1.0,1.0,1.0,,
19,0.21201221915648405,0.0039347948285553686,7.0,1779.0,189.0,0.0,1.0,1.0,1.0,1.0,,
20,0.21225857311785573,0.002852253280091272,5.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06439439851055728,0.07526760422686032
21,0.21255419787150176,0.0034482758620689655,6.0,1740.0,189.0,0.0,1.0,1.0,1.0,1.0,,
22,0.21280055183287347,0.0027824151363383415,5.0,1797.0,189.0,0.0,1.0,1.0,1.0,1.0,,
23,0.21314544737879385,0.003986332574031891,7.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,,
24,0.2133425305478912,0.0022598870056497176,4.0,1770.0,189.0,0.0,1.0,1.0,1.0,1.0,,
25,0.21349034292471422,0.0016958733747880158,3.0,1769.0,189.0,0.0,1.0,1.0,1.0,1.0,,
26,0.21368742609381158,0.002296211251435132,4.0,1742.0,189.0,0.0,1.0,1.0,1.0,1.0,,
27,0.21388450926290895,0.0022484541877459247,4.0,1779.0,189.0,0.0,1.0,1.0,1.0,1.0,,
28,0.21437721718565234,0.0057405281285878304,10.0,1742.0,189.0,0.0,1.0,1.0,1.0,1.0,,
