round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.2499912020364353,0.0,0.0,2718.0,303.0,0.0,0.0,0.1156515034695451,300.0,3.4482758620689653,0.002586959776663924,0.01075811431559327,0.0,,,,,,,,
1,0.25000293265452156,0.00037257824143070045,1.0,2684.0,303.0,0.0,0.0,0.11773940345368916,300.0,,,,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
2,0.25001466327260785,0.00037509377344336085,1.0,2666.0,303.0,0.0,0.0,0.11804184761152783,299.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
3,0.25001466327260785,0.0,0.0,2640.0,303.0,0.0,0.0,0.11922621397552309,302.0,,,,0.0,,,,,,,,
4,0.25001466327260785,0.0,0.0,2674.0,303.0,0.0,0.0,0.11990407673860912,300.0,,,,0.0,,,,,,,,
5,0.25001466327260785,0.0,0.0,2648.0,303.0,0.0,0.0,0.1195695496213631,300.0,,,,0.0,,,,,,,,
6,0.2500263938906941,0.00037397157816005983,1.0,2674.0,303.0,0.0,0.0,0.11760094080752646,300.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
7,0.2500263938906941,0.0,0.0,2758.0,303.0,0.0,0.0,0.11412213740458016,299.0,,,,0.0,,,,,,,,
8,0.2500381245087804,0.0003718854592785422,1.0,2689.0,303.0,0.0,0.0,0.11787819253438114,300.0,,,,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
9,0.2500498551268666,0.0003757985719654265,1.0,2661.0,303.0,0.0,0.0033003300330033004,0.11869085173501577,301.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.2500615857449529,0.00038022813688212925,1.0,2630.0,303.0,0.0,0.0,0.11987256073277579,301.0,3.142857142857143,0.0025493105928166004,0.010753203781472796,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0
11,0.2500615857449529,0.0,0.0,2665.0,303.0,0.0,0.0,0.11746156878202602,298.0,,,,0.0,,,,,,,,
12,0.2500615857449529,0.0,0.0,2685.0,303.0,0.0,0.0,0.11785297549591599,303.0,,,,0.0,,,,,,,,
13,0.25007331636303914,0.0003734129947722181,1.0,2678.0,303.0,0.0,0.0,0.11750881316098707,300.0,,,,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
14,0.25008504698112544,0.00038066235249333843,1.0,2627.0,303.0,0.0,0.0,0.1199195171026157,298.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
15,0.25009677759921173,0.0003652300949598247,1.0,2738.0,303.0,0.0,0.0,0.11493808049535603,297.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0
16,0.25009677759921173,0.0,0.0,2667.0,303.0,0.0,0.0,0.11932042670881075,302.0,,,,0.0,,,,,,,,
17,0.25009677759921173,0.0,0.0,2758.0,303.0,0.0,0.0,0.11471036585365854,301.0,,,,0.0,,,,,,,,
18,0.25010850821729796,0.0003787878787878788,1.0,2640.0,303.0,0.0,0.0,0.11950439648281375,299.0,,,,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
19,0.25010850821729796,0.0,0.0,2722.0,303.0,0.0,0.0,0.11591962905718702,300.0,,,,0.0,,,,,,,,
20,0.25010850821729796,0.0,0.0,2618.0,303.0,0.0,0.0,0.12122432541280709,301.0,3.6216216216216215,0.0025088553634008276,0.01077518284517533,0.0,,,,,,,,
21,0.25010850821729796,0.0,0.0,2701.0,303.0,0.0,0.0,0.11725749902610051,301.0,,,,0.0,,,,,,,,
22,0.25012023883538426,0.0003677822728944465,1.0,2719.0,303.0,0.0,0.0,0.11614401858304298,300.0,,,,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
23,0.25012023883538426,0.0,0.0,2677.0,303.0,0.0,0.0,0.11734693877551021,299.0,,,,0.0,,,,,,,,
24,0.25012023883538426,0.0,0.0,2743.0,303.0,0.0,0.0,0.11514919663351186,301.0,,,,0.0,,,,,,,,
25,0.25012023883538426,0.0,0.0,2752.0,303.0,0.0,0.0,0.11333585190782017,300.0,,,,0.0,,,,,,,,
26,0.2501319694534705,0.00037383177570093456,1.0,2675.0,303.0,0.0,0.0,0.11941478845393436,302.0,,,,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0
27,0.2501319694534705,0.0,0.0,2711.0,303.0,0.0,0.0,0.11480479319675299,297.0,,,,0.0,,,,,,,,
28,0.2501319694534705,0.0,0.0,2751.0,303.0,0.0,0.0,0.11514919663351186,301.0,,,,0.0,,,,,,,,
29,0.2501437000715568,0.0003779289493575208,1.0,2646.0,303.0,0.0,0.0,0.11904761904761904,300.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0
