C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round   64/100  coverage=0.2927  prec@K=0.0062  accepted=11  loss=0.5656  (0.4s)
Round   65/100  coverage=0.2928  prec@K=0.0017  accepted=3  loss=0.5616  (0.4s)
Round   66/100  coverage=0.2931  prec@K=0.0034  accepted=6  loss=0.5613  (0.4s)
Round   67/100  coverage=0.2935  prec@K=0.0040  accepted=7  loss=0.5598  (0.4s)
Round   68/100  coverage=0.2938  prec@K=0.0039  accepted=7  loss=0.5603  (0.4s)
Round   69/100  coverage=0.2941  prec@K=0.0034  accepted=6  loss=0.5571  (0.4s)
Round   70/100  coverage=0.2942  prec@K=0.0017  accepted=3  loss=0.5565  (0.4s)
Round   71/100  coverage=0.2945  prec@K=0.0034  accepted=6  loss=0.5550  (0.4s)
Round   72/100  coverage=0.2947  prec@K=0.0017  accepted=3  loss=0.5540  (0.4s)
Round   73/100  coverage=0.2949  prec@K=0.0023  accepted=4  loss=0.5525  (0.4s)
Round   74/100  coverage=0.2950  prec@K=0.0017  accepted=3  loss=0.5516  (0.4s)
Round   75/100  coverage=0.2952  prec@K=0.0023  accepted=4  loss=0.5504  (0.4s)
Round   76/100  coverage=0.2955  prec@K=0.0028  accepted=5  loss=0.5510  (0.4s)
Round   77/100  coverage=0.2959  prec@K=0.0045  accepted=8  loss=0.5496  (0.4s)
Round   78/100  coverage=0.2962  prec@K=0.0034  accepted=6  loss=0.5489  (0.4s)
Round   79/100  coverage=0.2965  prec@K=0.0034  accepted=6  loss=0.5494  (0.4s)
Round   80/100  coverage=0.2966  prec@K=0.0017  accepted=3  loss=0.5470  (0.4s)
Round   81/100  coverage=0.2968  prec@K=0.0022  accepted=4  loss=0.5458  (0.5s)
Round   82/100  coverage=0.2969  prec@K=0.0011  accepted=2  loss=0.5457  (0.4s)
Round   83/100  coverage=0.2970  prec@K=0.0006  accepted=1  loss=0.5452  (0.4s)
Round   84/100  coverage=0.2970  prec@K=0.0006  accepted=1  loss=0.5444  (0.4s)
Round   85/100  coverage=0.2972  prec@K=0.0023  accepted=4  loss=0.5460  (0.4s)
Round   86/100  coverage=0.2975  prec@K=0.0041  accepted=7  loss=0.5463  (0.4s)
Round   87/100  coverage=0.2977  prec@K=0.0017  accepted=3  loss=0.5439  (0.4s)
Round   88/100  coverage=0.2978  prec@K=0.0017  accepted=3  loss=0.5441  (0.4s)
Round   89/100  coverage=0.2979  prec@K=0.0011  accepted=2  loss=0.5430  (0.4s)
Round   90/100  coverage=0.2981  prec@K=0.0023  accepted=4  loss=0.5450  (0.4s)
Round   91/100  coverage=0.2982  prec@K=0.0011  accepted=2  loss=0.5427  (0.5s)
Round   92/100  coverage=0.2983  prec@K=0.0006  accepted=1  loss=0.5436  (0.4s)
Round   93/100  coverage=0.2984  prec@K=0.0011  accepted=2  loss=0.5432  (0.4s)
Round   94/100  coverage=0.2984  prec@K=0.0006  accepted=1  loss=0.5428  (0.4s)
Round   95/100  coverage=0.2985  prec@K=0.0006  accepted=1  loss=0.5435  (0.3s)
Round   96/100  coverage=0.2986  prec@K=0.0011  accepted=2  loss=0.5420  (0.4s)
Round   97/100  coverage=0.2987  prec@K=0.0017  accepted=3  loss=0.5429  (0.4s)
Round   98/100  coverage=0.2990  prec@K=0.0033  accepted=6  loss=0.5439  (0.4s)
Round   99/100  coverage=0.2991  prec@K=0.0011  accepted=2  loss=0.5417  (0.4s)
Round  100/100  coverage=0.2991  prec@K=0.0000  accepted=0  loss=0.5411  (0.4s)

结果已写入 results\online\selector_sweep_college_msg\uniform_gnn/rounds.csv
