round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.49999780693097534,0.5002422950184143,0.4961805555555556,0.009294465568229826,22.0,2367.0,247.0,0.0,0.0,0.11986863711001643,219.0,2.018292682926829,0.16159665069868903,0.004867701383996008,0.0,,,,,,,,
1,0.5000109653451232,0.4469599449167764,0.5072115384615384,0.0115990057995029,28.0,2414.0,247.0,0.0,0.008097165991902834,0.12176909821941413,212.0,,,,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.26111111111111107,1.0,0.26111111111111107,1.0
2,0.5000241237592712,0.4738330010106252,0.4723001700680272,0.012954450480568324,31.0,2393.0,247.0,0.0,0.008097165991902834,0.12243767313019391,221.0,,,,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.1875,1.0
3,0.5000241237592712,0.46144444444444443,0.4885912698412698,0.006211180124223602,15.0,2415.0,247.0,0.0,0.004048582995951417,0.11966759002770083,216.0,,,,0.0,,,,,,,,
4,0.5000328960353698,0.5423946041929202,0.5910493827160495,0.011899876897825195,29.0,2437.0,247.0,0.0,0.008097165991902834,0.12076502732240438,221.0,,,,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3214285714285714,1.0
5,0.5000372821734191,0.5507740377787247,0.48941798941798936,0.008868243243243243,21.0,2368.0,247.0,0.0,0.004048582995951417,0.12209944751381216,221.0,,,,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.375,1.0
6,0.5000372821734191,0.5364261744966443,0.6644021739130435,0.0103777501037775,25.0,2409.0,247.0,0.0,0.024291497975708502,0.11969940955448202,223.0,,,,0.0,,,,,,,,
7,0.5000504405875671,0.46348880213684,0.48237179487179493,0.012992455993294216,31.0,2386.0,247.0,0.0,0.016194331983805668,0.1224712957900492,224.0,,,,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.18148148148148147,1.0
8,0.5000504405875671,0.5972084611150429,0.3991769547325103,0.011335012594458438,27.0,2382.0,247.0,0.0,0.008097165991902834,0.12114656571119524,224.0,,,,0.0,,,,,,,,
9,0.5000592128636657,0.3792872295290624,0.5501207729468599,0.010495382031905962,25.0,2382.0,247.0,0.0,0.016194331983805668,0.11842833425567238,214.0,,,,0.0,0.5,0.5,0.5,0.5,0.6,1.0,0.6,1.0
