cell_id,dataset,method,seed,n_nodes,total_rounds,ingested_at,final_coverage,final_auc_feedback,final_uauc_feedback,final_precision_k,final_n_accepted,final_n_recs,final_n_active_users,final_n_skipped_users,final_mrr@1,final_hits@1,final_mrr@3,final_hits@3,final_mrr@5,final_hits@5,final_mrr@10,final_hits@10,final_hit_rate@1,final_rec_coverage@1,final_unique_recs@1,final_novelty,final_clustering_diff,final_degree_kl,final_replay_size
email_eu_seal_s1,email_eu,seal,1,986,30,2026-05-10T00:51:11,0.6050784227205263,0.4457862281603289,0.4722222222222222,0.002051282051282,2.0,975.0,98.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1833333333333333,1.0,0.0,0.1660839160839161,95.0,,,,0.0
email_eu_seal_s0,email_eu,seal,0,986,30,2026-05-10T00:51:13,0.6460347386577882,0.2561592323651452,0.5,0.0163265306122449,16.0,980.0,98.0,0.0,0.2857142857142857,0.2857142857142857,0.3452380952380953,0.4285714285714285,0.3452380952380953,0.4285714285714285,0.4153628117913833,1.0,0.0408163265306122,0.1561938958707361,87.0,,,,0.0
email_eu_seal_s2,email_eu,seal,2,986,30,2026-05-10T00:51:13,0.6537767259015604,0.7446272194102996,0.6991213151927439,0.055327868852459,54.0,976.0,98.0,0.0,0.4642857142857143,0.4642857142857143,0.5952380952380951,0.7857142857142857,0.613095238095238,0.8571428571428571,0.6337159863945577,1.0,0.1326530612244898,0.1781376518218623,88.0,,,,0.0
email_eu_seal_s3,email_eu,seal,3,986,30,2026-05-10T00:51:17,0.7048417505716235,0.7476136630639099,0.7625937950937951,0.0781893004115226,76.0,972.0,98.0,0.0,0.4545454545454545,0.4545454545454545,0.6363636363636364,0.8484848484848485,0.6575757575757576,0.9393939393939394,0.6652717652717652,1.0,0.1530612244897959,0.1826280623608017,82.0,,,,0.0
email_eu_seal_s42,email_eu,seal,42,986,30,2026-05-10T00:53:15,0.6869108267479642,0.7340759114522395,0.6320427059712774,0.0471794871794871,46.0,975.0,98.0,0.0,0.4761904761904761,0.4761904761904761,0.5634920634920635,0.6666666666666666,0.5968253968253968,0.8095238095238095,0.6204837490551777,1.0,0.1020408163265306,0.2024096385542168,84.0,,,,0.0
email_eu_seal_full_s1,email_eu,seal_full,1,986,30,2026-05-10T00:54:05,0.6103734606281841,0.2548767967145791,0.75,0.0020491803278688,2.0,976.0,98.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.010204081632653,0.1622103386809269,91.0,,,,0.0
email_eu_seal_full_s2,email_eu,seal_full,2,986,30,2026-05-10T00:54:08,0.6061213847326407,0.4138544536271809,0.3055555555555556,0.0092118730808597,9.0,977.0,98.0,0.0,0.125,0.125,0.1666666666666666,0.25,0.1666666666666666,0.25,0.2559027777777778,1.0,0.010204081632653,0.1672727272727272,92.0,,,,0.0
email_eu_seal_full_s0,email_eu,seal_full,0,986,30,2026-05-10T00:54:11,0.6122588150346986,0.5511247443762781,0.1944444444444444,0.0020408163265306,2.0,980.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269841269841269,1.0,0.0,0.1614035087719298,92.0,,,,0.0
dnc_email_seal_s0,dnc_email,seal,0,1866,30,2026-05-10T00:55:21,0.6527098060540149,0.378177850518276,0.7129629629629629,0.0027203482045701,5.0,1838.0,186.0,0.0,0.0,0.0,0.2777777777777777,0.6666666666666666,0.3611111111111111,1.0,0.3611111111111111,1.0,0.0,0.1763869132290185,124.0,,,,0.0
dnc_email_seal_s1,dnc_email,seal,1,1866,30,2026-05-10T00:55:23,0.6228022475983325,0.0237666297117516,0.5231481481481481,0.0022123893805309,4.0,1808.0,186.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3666666666666667,1.0,0.0,0.1602739726027397,117.0,,,,0.0
email_eu_seal_full_s3,email_eu,seal_full,3,986,30,2026-05-10T00:56:08,0.6305908780937863,0.3358721234309623,0.4908647486772486,0.0164609053497942,16.0,972.0,98.0,0.0,0.1666666666666666,0.1666666666666666,0.2083333333333333,0.25,0.2625,0.5,0.3356481481481481,1.0,0.0204081632653061,0.1675874769797421,91.0,,,,0.0
dnc_email_seal_s2,dnc_email,seal,2,1866,30,2026-05-10T00:56:29,0.6438281674823274,0.5155124653739612,0.9444444444444444,0.0011068068622025,2.0,1807.0,186.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.0053763440860215,0.1857541899441341,133.0,,,,0.0
dnc_email_seal_s3,dnc_email,seal,3,1866,30,2026-05-10T00:56:32,0.6731919521479065,0.9020995190529042,0.7381944444444445,0.0066152149944873,12.0,1814.0,186.0,0.0,0.6,0.6,0.65,0.7,0.6950000000000001,0.9,0.7061111111111111,1.0,0.032258064516129,0.1579651941097724,118.0,,,,0.0
email_eu_seal_full_s42,email_eu,seal_full,42,986,30,2026-05-10T00:56:47,0.6287055236872718,0.7767765190525231,0.6388888888888888,0.0041025641025641,4.0,975.0,98.0,0.0,0.5,0.5,0.5,0.5,0.55,0.75,0.575,1.0,0.0204081632653061,0.1690391459074733,95.0,,,,0.0
