round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
0,0.0698659834450138,0.03781979977753059,68.0,1798.0,189.0,0.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.3243812532912059,3.585714285714286,0.08196020110707615,2.424265446655954,1.0
1,0.07326566811194324,0.03929384965831435,69.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.3307003686150606,,,,2.0
2,0.076566811194324,0.038795599305153444,67.0,1727.0,189.0,0.0,1.0,1.0,1.0,1.0,0.19576719576719576,0.315955766192733,,,,3.0
3,0.08011430823807647,0.0410958904109589,72.0,1752.0,189.0,0.0,1.0,1.0,1.0,1.0,0.20634920634920634,0.32964718272775145,,,,4.0
4,0.08208513992905006,0.023121387283236993,40.0,1730.0,189.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.3280674038967878,,,,5.0
5,0.0843515963736697,0.026391279403327597,46.0,1743.0,189.0,0.0,1.0,1.0,1.0,1.0,0.15873015873015872,0.3338599262769879,,,,6.0
6,0.08558336618052818,0.013997760358342666,25.0,1786.0,189.0,0.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.33175355450236965,,,,7.0
7,0.08735711470240441,0.020247469066366704,36.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.3285939968404423,,,,8.0
8,0.08927867560110367,0.021910112359550562,39.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.3438651922064244,,,,9.0
9,0.0908060701616082,0.01753393665158371,31.0,1768.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.33228014744602424,,,,10.0
10,0.091791486007095,0.011166945840312675,20.0,1791.0,189.0,0.0,1.0,1.0,1.0,1.0,0.0582010582010582,0.34017904160084256,2.8129032258064517,0.057358071035984996,1.0943232905619265,11.0
11,0.09282617264485613,0.012209302325581395,21.0,1720.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06349206349206349,0.31911532385466035,,,,12.0
12,0.09376231769806859,0.010758776896942242,19.0,1766.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06878306878306878,0.3385992627698789,,,,13.0
