round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,clustering_diff,degree_kl
22,0.061522142667727396,0.005917159763313609,6.0,1014.0,115.0,0.0,1.0,1.0,1.0,1.0,,
23,0.06184036064704322,0.006815968841285297,7.0,1027.0,115.0,0.0,1.0,1.0,1.0,1.0,,
24,0.06205250596658711,0.004206098843322818,4.0,951.0,115.0,0.0,1.0,1.0,1.0,1.0,,
25,0.06252983293556086,0.008964143426294821,9.0,1004.0,115.0,0.0,1.0,1.0,1.0,1.0,,
26,0.06279501458499072,0.005202913631633715,5.0,961.0,115.0,0.0,1.0,1.0,1.0,1.0,,
27,0.06311323256430655,0.006362672322375398,6.0,943.0,115.0,0.0,1.0,1.0,1.0,1.0,,
28,0.06348448687350836,0.007650273224043716,7.0,915.0,115.0,0.0,1.0,1.0,1.0,1.0,,
29,0.06385574118271016,0.006923837784371909,7.0,1011.0,115.0,0.0,1.0,1.0,1.0,1.0,,
30,0.0645452134712278,0.013612565445026177,13.0,955.0,115.0,0.0,1.0,1.0,1.0,1.0,0.07307401723965642,0.8956534612019381
31,0.06496950411031556,0.007540056550424128,8.0,1061.0,115.0,0.0,1.0,1.0,1.0,1.0,,
32,0.06502254044020153,0.0010615711252653928,1.0,942.0,115.0,0.0,1.0,1.0,1.0,1.0,,
33,0.06592415804826306,0.01925254813137033,17.0,883.0,115.0,0.0,1.0,1.0,1.0,1.0,,
34,0.06629541235746486,0.007360672975814932,7.0,951.0,115.0,0.0,1.0,1.0,1.0,1.0,,
35,0.06666666666666667,0.007186858316221766,7.0,974.0,115.0,0.0,1.0,1.0,1.0,1.0,,
36,0.0669848846459825,0.005499541704857928,6.0,1091.0,115.0,0.0,1.0,1.0,1.0,1.0,,
37,0.06751524794484222,0.011739594450373533,11.0,937.0,115.0,0.0,1.0,1.0,1.0,1.0,,
38,0.06809864757358791,0.010648596321393998,11.0,1033.0,115.0,0.0,1.0,1.0,1.0,1.0,,
39,0.06836382922301777,0.005580357142857143,5.0,896.0,115.0,0.0,1.0,1.0,1.0,1.0,,
40,0.06894722885176346,0.012074643249176729,11.0,911.0,115.0,0.0,1.0,1.0,1.0,1.0,0.06940080599070844,1.0191910836832445
41,0.06915937417130734,0.0050200803212851405,5.0,996.0,115.0,0.0,1.0,1.0,1.0,1.0,,
42,0.06937151949085123,0.005149330587023687,5.0,971.0,115.0,0.0,1.0,1.0,1.0,1.0,,
43,0.069795810129939,0.008281573498964804,8.0,966.0,115.0,0.0,1.0,1.0,1.0,1.0,,
44,0.06990188278971095,0.002079002079002079,2.0,962.0,115.0,0.0,1.0,1.0,1.0,1.0,,
45,0.07022010076902678,0.0063025210084033615,6.0,952.0,115.0,0.0,1.0,1.0,1.0,1.0,,
46,0.0703792097586847,0.003067484662576687,3.0,978.0,115.0,0.0,1.0,1.0,1.0,1.0,,
47,0.07080350039777247,0.008048289738430584,8.0,994.0,115.0,0.0,1.0,1.0,1.0,1.0,,
