round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.25,0.0,0.0,3764.0,386.0,0.0,0.0,0.12128060263653484,322.0,2.6,0.0034915536918977137,1.5252804806482017,0.0,,,,,,,,
1,0.25,0.0,0.0,3757.0,386.0,0.0,0.0,0.1144578313253012,304.0,,,,0.0,,,,,,,,
2,0.25,0.0,0.0,3751.0,386.0,0.0,0.0,0.1188943581976524,314.0,,,,0.0,,,,,,,,
3,0.25,0.0,0.0,3758.0,386.0,0.0,0.0,0.11469933184855234,309.0,,,,0.0,,,,,,,,
4,0.25,0.0,0.0,3759.0,386.0,0.0,0.0,0.11636636636636637,310.0,,,,0.0,,,,,,,,
5,0.2500310752019888,0.0002670940170940171,1.0,3744.0,386.0,0.0,0.0025906735751295338,0.11972633979475485,315.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.2500310752019888,0.0,0.0,3758.0,386.0,0.0,0.0,0.12030075187969924,320.0,,,,0.0,,,,,,,,
7,0.2500310752019888,0.0,0.0,3782.0,386.0,0.0,0.0,0.11804511278195488,314.0,,,,0.0,,,,,,,,
8,0.2500310752019888,0.0,0.0,3792.0,386.0,0.0,0.0,0.11856060606060606,313.0,,,,0.0,,,,,,,,
9,0.2500310752019888,0.0,0.0,3741.0,386.0,0.0,0.0,0.12159570387418489,317.0,,,,0.0,,,,,,,,
10,0.2500310752019888,0.0,0.0,3778.0,386.0,0.0,0.0,0.11538461538461539,306.0,2.0,0.003463548280390506,1.525836511407127,0.0,,,,,,,,
11,0.2500310752019888,0.0,0.0,3818.0,386.0,0.0,0.0,0.11667913238593867,312.0,,,,0.0,,,,,,,,
12,0.2500310752019888,0.0,0.0,3792.0,386.0,0.0,0.0,0.11914731633041492,313.0,,,,0.0,,,,,,,,
13,0.2500310752019888,0.0,0.0,3775.0,386.0,0.0,0.0,0.11686838124054463,309.0,,,,0.0,,,,,,,,
14,0.2500621504039776,0.00026469031233456857,1.0,3778.0,386.0,0.0,0.0,0.11705310396409872,313.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0
15,0.2500621504039776,0.0,0.0,3813.0,386.0,0.0,0.0,0.12017970797454137,321.0,,,,0.0,,,,,,,,
16,0.2500621504039776,0.0,0.0,3769.0,386.0,0.0,0.0,0.1210967250571211,318.0,,,,0.0,,,,,,,,
17,0.2500621504039776,0.0,0.0,3764.0,386.0,0.0,0.0,0.11798396334478808,309.0,,,,0.0,,,,,,,,
18,0.2500621504039776,0.0,0.0,3777.0,386.0,0.0,0.0,0.11704545454545455,309.0,,,,0.0,,,,,,,,
19,0.2500621504039776,0.0,0.0,3761.0,386.0,0.0,0.0,0.11302395209580839,302.0,,,,0.0,,,,,,,,
20,0.2500621504039776,0.0,0.0,3723.0,386.0,0.0,0.0,0.12146676852559206,318.0,2.0,0.0034605224322755363,1.525788103076489,0.0,,,,,,,,
21,0.2500932256059664,0.0002644802962179318,1.0,3781.0,386.0,0.0,0.0,0.11831626848691695,312.0,,,,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
22,0.2501243008079552,0.0002644802962179318,1.0,3781.0,386.0,0.0,0.0025906735751295338,0.11384615384615385,296.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.2501553760099441,0.0002673082063619353,1.0,3741.0,386.0,0.0,0.0025906735751295338,0.115003808073115,302.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.2501553760099441,0.0,0.0,3786.0,386.0,0.0,0.0,0.11446012972148036,300.0,,,,0.0,,,,,,,,
25,0.2501553760099441,0.0,0.0,3765.0,386.0,0.0,0.0,0.11554541999239833,304.0,,,,0.0,,,,,,,,
26,0.2501553760099441,0.0,0.0,3750.0,386.0,0.0,0.0,0.12001519179642993,316.0,,,,0.0,,,,,,,,
27,0.2501553760099441,0.0,0.0,3811.0,386.0,0.0,0.0,0.11240601503759398,299.0,,,,0.0,,,,,,,,
28,0.2501553760099441,0.0,0.0,3769.0,386.0,0.0,0.0,0.1174934725848564,315.0,,,,0.0,,,,,,,,
29,0.2501553760099441,0.0,0.0,3744.0,386.0,0.0,0.0,0.11865049279757392,313.0,,,,0.0,,,,,,,,
