=== college_msg_gnn_concat_h8_s1  started 2026-05-07T23:16:00 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4007  prec@K=0.0081  accepted=15  auc=0.7432  uauc=0.4208  loss=0.7463  (3.1s)
Round    2/30  coverage=0.4012  prec@K=0.0054  accepted=10  auc=0.7469  uauc=0.5926  loss=0.7460  (2.7s)
Round    3/30  coverage=0.4017  prec@K=0.0054  accepted=10  auc=0.6164  uauc=0.3727  loss=0.7458  (2.3s)
Round    4/30  coverage=0.4023  prec@K=0.0066  accepted=12  auc=0.7749  uauc=0.6181  loss=0.7453  (2.2s)
Round    5/30  coverage=0.4025  prec@K=0.0027  accepted=5  auc=0.7300  uauc=0.5556  loss=0.7449  (2.4s)
Round    6/30  coverage=0.4030  prec@K=0.0049  accepted=9  auc=0.7509  uauc=0.6280  loss=0.7443  (2.6s)
Round    7/30  coverage=0.4034  prec@K=0.0048  accepted=9  auc=0.7719  uauc=0.5556  loss=0.7437  (2.3s)
Round    8/30  coverage=0.4041  prec@K=0.0077  accepted=14  auc=0.6824  uauc=0.5611  loss=0.7434  (2.3s)
Round    9/30  coverage=0.4045  prec@K=0.0044  accepted=8  auc=0.6557  uauc=0.5614  loss=0.7434  (2.5s)
Round   10/30  coverage=0.4050  prec@K=0.0049  accepted=9  auc=0.6643  uauc=0.4228  loss=0.7432  (2.3s)
Round   11/30  coverage=0.4054  prec@K=0.0054  accepted=10  auc=0.5938  uauc=0.4667  loss=0.7428  (2.5s)
Round   12/30  coverage=0.4057  prec@K=0.0033  accepted=6  auc=0.6737  uauc=0.4735  loss=0.7412  (2.3s)
Round   13/30  coverage=0.4060  prec@K=0.0032  accepted=6  auc=0.7828  uauc=0.6806  loss=0.7424  (2.4s)
Round   14/30  coverage=0.4064  prec@K=0.0043  accepted=8  auc=0.7693  uauc=0.5298  loss=0.7403  (2.4s)
Round   15/30  coverage=0.4070  prec@K=0.0059  accepted=11  auc=0.7456  uauc=0.4719  loss=0.7411  (2.4s)
Round   16/30  coverage=0.4073  prec@K=0.0033  accepted=6  auc=0.7624  uauc=0.4764  loss=0.7398  (2.2s)
Round   17/30  coverage=0.4078  prec@K=0.0060  accepted=11  auc=0.6336  uauc=0.5889  loss=0.7393  (2.3s)
Round   18/30  coverage=0.4082  prec@K=0.0038  accepted=7  auc=0.7625  uauc=0.5794  loss=0.7384  (2.4s)
Round   19/30  coverage=0.4084  prec@K=0.0027  accepted=5  auc=0.6908  uauc=0.4556  loss=0.7394  (2.4s)
Round   20/30  coverage=0.4088  prec@K=0.0038  accepted=7  auc=0.6253  uauc=0.5079  loss=0.7383  (2.6s)
Round   21/30  coverage=0.4092  prec@K=0.0050  accepted=9  auc=0.6029  uauc=0.5778  loss=0.7377  (2.6s)
Round   22/30  coverage=0.4096  prec@K=0.0043  accepted=8  auc=0.6478  uauc=0.5694  loss=0.7369  (2.7s)
Round   23/30  coverage=0.4097  prec@K=0.0016  accepted=3  auc=0.5618  uauc=0.4815  loss=0.7380  (2.5s)
Round   24/30  coverage=0.4100  prec@K=0.0033  accepted=6  auc=0.7089  uauc=0.4889  loss=0.7375  (2.5s)
Round   25/30  coverage=0.4104  prec@K=0.0043  accepted=8  auc=0.6613  uauc=0.4861  loss=0.7353  (2.4s)
Round   26/30  coverage=0.4106  prec@K=0.0022  accepted=4  auc=0.6886  uauc=0.4028  loss=0.7357  (2.4s)
Round   27/30  coverage=0.4109  prec@K=0.0028  accepted=5  auc=0.7532  uauc=0.5260  loss=0.7355  (2.5s)
Round   28/30  coverage=0.4110  prec@K=0.0016  accepted=3  auc=0.6645  uauc=0.4074  loss=0.7353  (2.4s)
Round   29/30  coverage=0.4112  prec@K=0.0016  accepted=3  auc=0.7629  uauc=0.2778  loss=0.7348  (2.4s)
Round   30/30  coverage=0.4115  prec@K=0.0033  accepted=6  auc=0.7084  uauc=0.3847  loss=0.7333  (2.4s)

结果已写入 results\orchestrator\runs\ir40_constlr5e5_multiseed_bidir\college_msg\gnn_concat_h8_s1/rounds.csv
