round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,unique_recs@5,novelty,clustering_diff,degree_kl,replay_size
0,0.1382614070577658,0.0377906976744186,208.0,5504.0,588.0,0.0,0.4520188522990793,0.48057049941271546,0.48057049941271546,0.7831845238095239,0.17687074829931973,0.5952458482578965,1828.0,2.93125,0.14490048854991117,5.783482346868526,1.0
1,0.14166104742638796,0.04164342814649563,224.0,5379.0,588.0,0.0,0.42063157357178727,0.46142861895359955,0.46142861895359955,0.710930735930736,0.17517006802721088,0.5980230642504119,1815.0,,,,2.0
2,0.1454540346145201,0.0452132527915065,247.0,5463.0,588.0,0.0,0.47203349258478094,0.4987420321601193,0.4987420321601193,0.7866434378629501,0.1836734693877551,0.5883143049026192,1752.0,,,,3.0
3,0.14919082939986514,0.045304475421863534,247.0,5452.0,588.0,0.0,0.4439680072702939,0.4708966711842561,0.4708966711842561,0.7924050632911391,0.20238095238095238,0.602921195652174,1775.0,,,,4.0
4,0.15216902674758373,0.03861788617886179,209.0,5412.0,588.0,0.0,0.4267214940566766,0.4558563540248494,0.4558563540248494,0.7807017543859649,0.1717687074829932,0.6136286201022146,1801.0,,,,5.0
5,0.15593391773432233,0.04707640575378293,252.0,5353.0,588.0,0.0,0.4425120139004369,0.4728755481345089,0.4728755481345089,0.7645676691729324,0.17857142857142858,0.6215373961218836,1795.0,,,,6.0
6,0.15913688469318948,0.0400674031080322,214.0,5341.0,588.0,0.0,0.4115848586167375,0.44902855270121195,0.44902855270121195,0.7081050228310503,0.18537414965986396,0.6194387405886379,1810.0,,,,7.0
7,0.16250842886041808,0.03957297993741948,215.0,5433.0,588.0,0.0,0.3044794829612648,0.3516316962604587,0.3516316962604587,0.6467610467610467,0.16666666666666666,0.6391928864569083,1869.0,,,,8.0
8,0.16517756799280736,0.03637370753323486,197.0,5416.0,588.0,0.0,0.3413660903808786,0.38767862664674646,0.38767862664674646,0.6516169154228856,0.14965986394557823,0.6096807415036045,1776.0,,,,9.0
9,0.16857720836142953,0.043327239488117,237.0,5470.0,588.0,0.0,0.34650992437132766,0.38902033237474304,0.38902033237474304,0.6662925170068027,0.1649659863945578,0.6371024734982332,1803.0,,,,10.0
