cell_id,dataset,method,seed,n_nodes,total_rounds,ingested_at,final_coverage,final_precision_k,final_n_accepted,final_n_recs,final_n_active_users,final_n_skipped_users,final_mrr@1,final_hits@1,final_mrr@3,final_hits@3,final_mrr@5,final_hits@5,final_mrr@10,final_hits@10,final_hit_rate@1,final_rec_coverage@1,final_unique_recs@1,final_novelty,final_clustering_diff,final_degree_kl,final_replay_size,final_auc_feedback,final_uauc_feedback
email_eu_random_s0,email_eu,random,0,986,30,2026-05-07T02:15:37,0.4609490954310241,0.0459652706843718,45.0,979.0,98.0,0.0,0.0666666666666666,0.0666666666666666,0.1888888888888888,0.3666666666666666,0.2322222222222222,0.5666666666666667,0.2883201058201058,1.0,0.0204081632653061,0.169172932330827,90.0,,,,0.0,,
email_eu_pa_s0,email_eu,pa,0,986,30,2026-05-07T02:15:38,0.473143728188054,0.0389743589743589,38.0,975.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.4537037037037036,0.6111111111111112,0.5009259259259259,0.8333333333333334,0.526058201058201,1.0,0.0612244897959183,0.142156862745098,29.0,,,,0.0,0.9107875077234174,0.6873346560846562
email_eu_jaccard_s0,email_eu,jaccard,0,986,30,2026-05-07T02:15:39,0.5766777648521801,0.0983606557377049,96.0,976.0,98.0,0.0,0.5294117647058824,0.5294117647058824,0.6323529411764706,0.7352941176470589,0.6544117647058824,0.8235294117647058,0.6804621848739496,1.0,0.1836734693877551,0.1675579322638146,94.0,,,,0.0,0.7782848011363636,0.6712974987974988
dnc_email_cn_s0,dnc_email,cn,0,1866,30,2026-05-07T02:15:40,0.5550117817654522,0.0082056892778993,15.0,1828.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.6393298059964727,1.0,0.0268817204301075,0.1427135678391959,142.0,,,,0.0,0.9699209413495128,0.717391975308642
dnc_email_aa_s0,dnc_email,aa,0,1866,30,2026-05-07T02:15:40,0.5620808410367953,0.0060142154182613,11.0,1829.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037036,1.0,0.021505376344086,0.1486349848331648,147.0,,,,0.0,0.9757475747574758,0.6718518518518518
email_eu_graphsage_emb_s0,email_eu,graphsage_emb,0,986,30,2026-05-07T02:15:47,0.458060892935938,0.0337078651685393,33.0,979.0,98.0,0.0,0.2666666666666666,0.2666666666666666,0.3777777777777778,0.5333333333333333,0.4077777777777777,0.6666666666666666,0.4536772486772486,1.0,0.0408163265306122,0.1620253164556962,64.0,,,,0.0,0.5642577999871868,0.5553677248677249
dnc_email_gnn_s0,dnc_email,gnn,0,1866,30,2026-05-07T02:15:57,0.4690955229291281,0.0032804811372334,6.0,1829.0,186.0,0.0,0.1666666666666666,0.1666666666666666,0.3611111111111111,0.6666666666666666,0.3611111111111111,0.6666666666666666,0.4015873015873015,1.0,0.0053763440860215,0.1436567164179104,154.0,,,,0.0,0.0250502834156153,0.6296296296296297
dnc_email_gnn_h32_s0,dnc_email,gnn_h32,0,1866,30,2026-05-07T02:16:00,0.5133224578575313,0.0005497526113249,1.0,1819.0,186.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.1421933085501859,153.0,,,,0.0,0.0852585258525853,0.6666666666666667
dnc_email_gnn_concat_s0,dnc_email,gnn_concat,0,1866,30,2026-05-07T02:16:01,0.459126336777234,0.0016411378555798,3.0,1828.0,186.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.3055555555555555,1.0,0.3055555555555555,1.0,0.0,0.1461318051575931,153.0,,,,0.0,0.3511415525114155,0.5925925925925927
dnc_email_gnn_concat_h8_s0,dnc_email,gnn_concat_h8,0,1866,30,2026-05-07T02:16:02,0.4373753851731013,0.0010940919037199,2.0,1828.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269841269841269,1.0,0.0,0.1500974658869395,154.0,,,,0.0,0.593921139101862,0.2222222222222222
dnc_email_gnn_sum_s0,dnc_email,gnn_sum,0,1866,30,2026-05-07T02:16:03,0.4796084828711256,0.0038293216630196,7.0,1828.0,186.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.5,1.0,0.0053763440860215,0.1391554702495201,145.0,,,,0.0,0.1335608378441986,0.6788194444444444
dnc_email_jaccard_s0,dnc_email,jaccard,0,1866,30,2026-05-07T02:16:08,0.5234729019394598,0.0049234135667396,9.0,1828.0,186.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3523809523809524,1.0,0.0053763440860215,0.1476510067114094,154.0,,,,0.0,0.7480300531427524,0.2646329365079365
dnc_email_pa_s0,dnc_email,pa,0,1866,30,2026-05-07T02:16:09,0.5278230922602863,0.0049207217058501,9.0,1829.0,186.0,0.0,0.2,0.2,0.3666666666666666,0.6,0.3666666666666666,0.6,0.4116666666666667,1.0,0.0053763440860215,0.1370499419279907,118.0,,,,0.0,0.9555555555555556,0.4534722222222222
dnc_email_gnn_sum_h8_s0,dnc_email,gnn_sum_h8,0,1866,30,2026-05-07T02:16:09,0.4801522566612289,0.0032822757111597,6.0,1828.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5476190476190476,1.0,0.0053763440860215,0.1501014198782961,148.0,,,,0.0,0.4973472374679838,0.7093253968253969
dnc_email_random_s0,dnc_email,random,0,1866,30,2026-05-07T02:16:10,0.4607576581475439,0.0049234135667396,9.0,1828.0,186.0,0.0,0.1666666666666666,0.1666666666666666,0.3055555555555555,0.5,0.3055555555555555,0.5,0.3779761904761904,1.0,0.0053763440860215,0.1641929499072356,177.0,,,,0.0,,
college_msg_aa_s0,college_msg,aa,0,1899,30,2026-05-07T02:16:16,0.4341249507292077,0.0077648363838047,14.0,1803.0,189.0,0.0,0.25,0.25,0.3472222222222222,0.5,0.3847222222222222,0.6666666666666666,0.4301917989417989,1.0,0.0158730158730158,0.156355455568054,139.0,,,,0.0,0.9168529904974848,0.621031746031746
college_msg_cn_s0,college_msg,cn,0,1899,30,2026-05-07T02:16:17,0.4319570358691367,0.0088790233074361,16.0,1802.0,189.0,0.0,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.1892857142857142,0.4285714285714285,0.2645408163265306,1.0,0.0052910052910052,0.1510710259301014,134.0,,,,0.0,0.890152575587906,0.4260912698412699
dnc_email_graphsage_emb_s0,dnc_email,graphsage_emb,0,1866,30,2026-05-07T02:16:17,0.4446257023744789,0.0010940919037199,2.0,1828.0,186.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3,1.0,0.0,0.1849912739965096,106.0,,,,0.0,0.1447152245345016,0.3611111111111111
