round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,auc_feedback,uauc_feedback,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.5999973683171704,0.0,0.0,2395.0,247.0,0.0,0.0,0.13552479815455595,235.0,1.9447513812154695,0.13412932186264798,0.0071891870296360225,0.0,,,,,,,,,,
1,0.5999973683171704,0.0,0.0,2397.0,247.0,0.0,0.0,0.13329519450800914,233.0,,,,0.0,,,,,,,,,,
2,0.6000105267313184,0.0012468827930174563,3.0,2406.0,247.0,0.0,0.008097165991902834,0.13916617733411626,237.0,,,,0.0,0.2125814953530309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.6000105267313184,0.0,0.0,2414.0,247.0,0.0,0.0,0.13542857142857143,237.0,,,,0.0,,,,,,,,,,
4,0.6000280712835155,0.0016638935108153079,4.0,2404.0,247.0,0.0,0.004048582995951417,0.13286713286713286,228.0,,,,0.0,0.4017708333333333,0.5972222222222222,0.25,0.25,0.3333333333333333,0.5,0.4458333333333333,1.0,0.4458333333333333,1.0
5,0.6000324574215649,0.00041736227045075126,1.0,2396.0,247.0,0.0,0.004048582995951417,0.13383545770567787,231.0,,,,0.0,0.1640918580375783,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.6000543881118114,0.0020652622883106154,5.0,2421.0,247.0,0.0,0.0,0.13157894736842105,230.0,,,,0.0,0.6673427152317881,0.5333333333333334,0.0,0.0,0.16666666666666666,0.4,0.16666666666666666,0.4,0.2507936507936508,1.0
7,0.6000807049401072,0.002533783783783784,6.0,2368.0,247.0,0.0,0.012145748987854251,0.13329519450800914,233.0,,,,0.0,0.29702935365509453,0.7777777777777778,0.5,0.5,0.5833333333333334,0.6666666666666666,0.6166666666666667,0.8333333333333334,0.6375000000000001,1.0
8,0.6000938633542552,0.0012453300124533001,3.0,2409.0,247.0,0.0,0.004048582995951417,0.13094571908226077,234.0,,,,0.0,0.30084510944860077,0.5185185185185186,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4226190476190476,1.0
9,0.6001114079064525,0.001670843776106934,4.0,2394.0,247.0,0.0,0.004048582995951417,0.1349112426035503,228.0,,,,0.0,0.44152719665271967,0.6027777777777777,0.25,0.25,0.3333333333333333,0.5,0.4333333333333333,1.0,0.4333333333333333,1.0
