cell_id,dataset,method,seed,n_nodes,total_rounds,ingested_at,final_coverage,final_auc_feedback,final_uauc_feedback,final_precision_k,final_n_accepted,final_n_recs,final_n_active_users,final_n_skipped_users,final_mrr@1,final_hits@1,final_mrr@3,final_hits@3,final_mrr@5,final_hits@5,final_mrr@10,final_hits@10,final_hit_rate@1,final_rec_coverage@1,final_unique_recs@1,final_novelty,final_clustering_diff,final_degree_kl,final_replay_size
email_eu_aa_s1,email_eu,aa,1,986,30,2026-05-07T11:53:37,0.5818925749127523,0.8390338570316073,0.6265184082892417,0.0928571428571428,91.0,980.0,98.0,0.0,0.4722222222222222,0.4722222222222222,0.5555555555555556,0.6944444444444444,0.5722222222222222,0.7777777777777778,0.6010361552028218,1.0,0.173469387755102,0.1885856079404466,76.0,,,,0.0
email_eu_aa_s2,email_eu,aa,2,986,30,2026-05-07T11:53:37,0.5828954230013238,0.8597080659368316,0.5767721386800335,0.092497430626927,90.0,973.0,98.0,0.0,0.4736842105263157,0.4736842105263157,0.5263157894736842,0.6052631578947368,0.5684210526315789,0.7894736842105263,0.5942564745196324,1.0,0.1836734693877551,0.1867321867321867,76.0,,,,0.0
email_eu_aa_s3,email_eu,aa,3,986,30,2026-05-07T11:53:37,0.5824942837658952,0.8295370894677236,0.529156462585034,0.083073727933541,80.0,963.0,98.0,0.0,0.3714285714285714,0.3714285714285714,0.4857142857142857,0.6571428571428571,0.5042857142857142,0.7428571428571429,0.5362925170068026,1.0,0.1326530612244898,0.2,80.0,,,,0.0
email_eu_aa_s42,email_eu,aa,42,986,30,2026-05-07T11:53:37,0.5802077901239521,0.8791950113378685,0.5670882936507937,0.0925925925925925,90.0,972.0,98.0,0.0,0.4375,0.4375,0.5104166666666666,0.59375,0.5307291666666667,0.6875,0.572296626984127,1.0,0.1428571428571428,0.1920529801324503,87.0,,,,0.0
email_eu_cn_s2,email_eu,cn,2,986,30,2026-05-07T11:53:45,0.5761562838461229,0.8129398663697105,0.5535537323037321,0.0770811921891058,75.0,973.0,98.0,0.0,0.4054054054054054,0.4054054054054054,0.4729729729729729,0.5675675675675675,0.5094594594594595,0.7297297297297297,0.543951093951094,1.0,0.1530612244897959,0.1850961538461538,77.0,,,,0.0
email_eu_cn_s1,email_eu,cn,1,986,30,2026-05-07T11:53:45,0.57499298006338,0.8267453322792532,0.5539387031408308,0.1214285714285714,119.0,980.0,98.0,0.0,0.3191489361702128,0.3191489361702128,0.4113475177304964,0.5319148936170213,0.4549645390070921,0.723404255319149,0.4878757176629517,1.0,0.1530612244897959,0.1904761904761904,76.0,,,,0.0
email_eu_cn_s42,email_eu,cn,42,986,30,2026-05-07T11:53:45,0.5747121825985799,0.8564329978240677,0.5449625220458553,0.0915637860082304,89.0,972.0,98.0,0.0,0.3611111111111111,0.3611111111111111,0.4722222222222221,0.6111111111111112,0.4916666666666666,0.6944444444444444,0.5309634038800705,1.0,0.1326530612244898,0.1737193763919821,78.0,,,,0.0
email_eu_cn_s3,email_eu,cn,3,986,30,2026-05-07T11:53:45,0.5770387901640659,0.8547069648924123,0.5640195105820106,0.083073727933541,80.0,963.0,98.0,0.0,0.2777777777777778,0.2777777777777778,0.4074074074074074,0.5555555555555556,0.4476851851851852,0.75,0.4815806878306878,1.0,0.1020408163265306,0.1975,79.0,,,,0.0
email_eu_gat_emb_s42,email_eu,gat_emb,42,986,30,2026-05-07T11:54:12,0.4648000320911388,0.2713658146964856,0.79296875,0.0249221183800623,24.0,963.0,98.0,0.0,0.375,0.375,0.5729166666666666,0.8125,0.6041666666666666,0.9375,0.6130952380952381,1.0,0.0612244897959183,0.1566265060240964,78.0,,,,0.0
email_eu_gat_emb_s3,email_eu,gat_emb,3,986,30,2026-05-07T11:54:12,0.4516426651690802,0.4864101495578089,0.5268440709617179,0.0239085239085239,23.0,962.0,98.0,0.0,0.1176470588235294,0.1176470588235294,0.2549019607843137,0.4705882352941176,0.2931372549019608,0.6470588235294118,0.3405228758169935,1.0,0.0204081632653061,0.161925601750547,74.0,,,,0.0
email_eu_gat_emb_s2,email_eu,gat_emb,2,986,30,2026-05-07T11:54:12,0.4499177664567371,0.4826514337792533,0.4260461760461762,0.0342323651452282,33.0,964.0,98.0,0.0,0.0909090909090909,0.0909090909090909,0.1742424242424242,0.2727272727272727,0.1946969696969697,0.3636363636363636,0.2839285714285715,1.0,0.0204081632653061,0.1548117154811715,74.0,,,,0.0
