round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,auc_feedback,uauc_feedback,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
16,0.600076318802058,0.00041649312786339027,1.0,2401.0,247.0,0.0,0.004048582995951417,0.12590127565169162,227.0,,,,0.0,0.4575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.600076318802058,0.0,0.0,2445.0,247.0,0.0,0.0,0.12910284463894967,236.0,,,,0.0,,,,,,,,,,
18,0.600076318802058,0.0,0.0,2395.0,247.0,0.0,0.0,0.12708669897684438,236.0,,,,0.0,,,,,,,,,,
19,0.6000807049401072,0.00041407867494824016,1.0,2415.0,247.0,0.0,0.004048582995951417,0.12580993520518358,233.0,,,,0.0,0.8073736536868269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.6000807049401072,0.0,0.0,2388.0,247.0,0.0,0.0,0.13043478260869565,237.0,2.0,0.13462834496990425,0.006257317393214058,0.0,,,,,,,,,,
21,0.6000807049401072,0.0,0.0,2397.0,247.0,0.0,0.0,0.1248665955176094,234.0,,,,0.0,,,,,,,,,,
22,0.6000982494923045,0.0016570008285004142,4.0,2414.0,247.0,0.0,0.0,0.12289029535864979,233.0,,,,0.0,0.27380705394190874,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.11944444444444444,1.0
23,0.6001114079064525,0.0012320328542094457,3.0,2435.0,247.0,0.0,0.004048582995951417,0.12315010570824525,233.0,,,,0.0,0.7491776315789473,0.8518518518518517,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5277777777777778,1.0,0.5277777777777778,1.0
24,0.6001114079064525,0.0,0.0,2407.0,247.0,0.0,0.0,0.12346338856226617,231.0,,,,0.0,,,,,,,,,,
25,0.6001289524586497,0.0016576875259013675,4.0,2413.0,247.0,0.0,0.0,0.12552742616033755,238.0,,,,0.0,0.5888335408883354,0.4722222222222222,0.0,0.0,0.20833333333333331,0.5,0.2583333333333333,0.75,0.2861111111111111,1.0
26,0.6001289524586497,0.0,0.0,2418.0,247.0,0.0,0.0,0.12799564270152505,235.0,,,,0.0,,,,,,,,,,
27,0.600133338596699,0.00041911148365465214,1.0,2386.0,247.0,0.0,0.004048582995951417,0.12678288431061807,240.0,,,,0.0,0.8574423480083858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.6001421108727976,0.0008223684210526315,2.0,2432.0,247.0,0.0,0.004048582995951417,0.12428497139885596,239.0,,,,0.0,0.875925925925926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.6001596554249948,0.001652892561983471,4.0,2420.0,247.0,0.0,0.012145748987854251,0.12857142857142856,243.0,,,,0.0,0.7079366721854305,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.7777777777777778,1.0
